gold	param	spearman_r	p_value	n
sspg	si	-0.14285714285714288	0.7871720116618075	6
sspg	mi	-0.2571428571428572	0.6227871720116618	6
sspg	tau_m	-0.14285714285714288	0.7871720116618075	6
sspg	sg	-0.14285714285714288	0.7871720116618075	6
di	si	0.2	0.704	6
di	mi	0.2571428571428572	0.6227871720116618	6
di	tau_m	-0.2571428571428572	0.6227871720116618	6
di	sg	0.2	0.704	6
homa_ir	si	0.14285714285714288	0.7599453002180929	7
homa_ir	mi	-0.10714285714285716	0.8191508555699912	7
homa_ir	tau_m	0.14285714285714288	0.7599453002180929	7
homa_ir	sg	-0.07142857142857144	0.8790481931481541	7
homa_b	si	0.4642857142857144	0.2939341076002517	7
homa_b	mi	0.1785714285714286	0.7016579425162729	7
homa_b	tau_m	0.10714285714285716	0.8191508555699912	7
homa_b	sg	0.1785714285714286	0.7016579425162729	7
