gold	param	spearman_r	p_value	n
sspg	si	-0.10714285714285716	0.8191508555699912	7
sspg	mi	-0.8214285714285715	0.023448808345691505	7
sspg	tau_m	-0.642857142857143	0.11939237342741094	7
sspg	sg	-0.7142857142857144	0.0713435614675376	7
di	si	0.5714285714285715	0.1802019889115274	7
di	mi	0.25	0.5887244480896833	7
di	tau_m	0.6071428571428572	0.1482311614811614	7
di	sg	0.21428571428571433	0.6445115810207203	7
homa_ir	si	-0.03571428571428572	0.9394082054712856	7
homa_ir	mi	-0.5	0.2531699951003227	7
homa_ir	tau_m	-0.5357142857142858	0.21521745567801273	7
homa_ir	sg	-0.28571428571428575	0.5345092286010406	7
homa_b	si	0.8571428571428573	0.013697326615325611	7
homa_b	mi	0.14285714285714288	0.7599453002180929	7
homa_b	tau_m	0.5714285714285715	0.1802019889115274	7
homa_b	sg	0.28571428571428575	0.5345092286010406	7
