gold	param	spearman_r	p_value	n
sspg	si	-0.5714285714285715	0.1802019889115274	7
sspg	mi	-0.5714285714285715	0.1802019889115274	7
sspg	tau_m	-0.5714285714285715	0.1802019889115274	7
sspg	sg	-0.5357142857142858	0.21521745567801273	7
di	si	0.7857142857142859	0.03623846267982714	7
di	mi	0.7857142857142859	0.03623846267982714	7
di	tau_m	0.7857142857142859	0.03623846267982714	7
di	sg	0.7500000000000002	0.05218140045705776	7
homa_ir	si	-0.642857142857143	0.11939237342741094	7
homa_ir	mi	-0.642857142857143	0.11939237342741094	7
homa_ir	tau_m	-0.642857142857143	0.11939237342741094	7
homa_ir	sg	-0.7500000000000002	0.05218140045705776	7
homa_b	si	0.5	0.2531699951003227	7
homa_b	mi	0.5	0.2531699951003227	7
homa_b	tau_m	0.5	0.2531699951003227	7
homa_b	sg	0.3214285714285715	0.4820720382996776	7
