feature,importance
z_nonseq_0,1.8298500563523703
z_nonseq_4,1.4241823553159387
z_nonseq_7,1.293952404863184
z_nonseq_1,1.2250705535817479
z_nonseq_3,1.2166624350388908
z_nonseq_11,1.1863402478308223
z_nonseq_10,1.1461867940963326
z_nonseq_13,1.1100745525626188
z_nonseq_14,1.0549295188171326
z_nonseq_2,1.0145402705417716
z_nonseq_8,0.9310541249105458
z_nonseq_6,0.7308340809386813
z_nonseq_5,0.6816038201773229
z_nonseq_12,0.3993185945714042
z_init_3,0.39534562528425043
Gb,0.21906180516379903
tau_m,0.20213934235599648
z_nonseq_15,0.16185214024345781
z_init_0,0.12352011257840624
z_init_1,0.1112111893043144
z_nonseq_9,0.10477490682517626
p2,0.09865757410120622
sg,0.08393765334568244
z_init_2,0.046351595343855696
mi,0.014499672263984166
si,0.003907051788050403
