feature,importance
z_init_3,5.0776333922837796e-05
tau_m,4.415723707542928e-05
z_nonseq_3,3.824044426807027e-05
z_nonseq_12,2.170920967905615e-05
z_nonseq_7,1.7005100987424522e-05
z_nonseq_10,1.6912369904651004e-05
z_nonseq_4,1.6483782823397056e-05
z_init_1,1.4642622498911586e-05
si,1.1295920140853855e-05
sg,1.1000962719328925e-05
z_nonseq_8,0.0
z_nonseq_14,0.0
z_nonseq_13,0.0
mi,0.0
z_nonseq_11,0.0
z_init_0,0.0
z_nonseq_9,0.0
z_init_2,0.0
z_nonseq_0,0.0
z_nonseq_6,0.0
z_nonseq_5,0.0
p2,0.0
Gb,0.0
z_nonseq_2,0.0
z_nonseq_1,0.0
z_nonseq_15,0.0
