feature,importance
z_init_3,6.379437586376326e-05
z_nonseq_13,3.109618733684425e-05
p2,2.8549507660694428e-05
z_nonseq_10,2.3499385091554415e-05
z_nonseq_5,2.1480172081052686e-05
z_nonseq_4,2.0355723860088163e-05
z_init_2,1.345391453183081e-05
z_nonseq_1,1.3130608976013618e-05
z_nonseq_15,8.91915720763903e-06
Gb,7.4075046225435316e-06
z_nonseq_7,0.0
z_nonseq_14,0.0
z_nonseq_12,0.0
z_nonseq_11,0.0
z_nonseq_9,0.0
z_nonseq_8,0.0
tau_m,0.0
z_nonseq_6,0.0
z_nonseq_2,0.0
z_nonseq_0,0.0
z_init_1,0.0
z_init_0,0.0
mi,0.0
si,0.0
sg,0.0
z_nonseq_3,0.0
