gold	param	spearman_r	p_value	n
sspg	si	-0.03571428571428572	0.9394082054712856	7
sspg	mi	-0.03571428571428572	0.9394082054712856	7
sspg	tau_m	-0.7857142857142859	0.03623846267982714	7
sspg	sg	-0.8214285714285715	0.023448808345691505	7
di	si	0.4642857142857144	0.2939341076002517	7
di	mi	0.4642857142857144	0.2939341076002517	7
di	tau_m	0.5714285714285715	0.1802019889115274	7
di	sg	0.25	0.5887244480896833	7
homa_ir	si	-0.5	0.2531699951003227	7
homa_ir	mi	-0.5	0.2531699951003227	7
homa_ir	tau_m	-0.5714285714285715	0.1802019889115274	7
homa_ir	sg	-0.5	0.2531699951003227	7
homa_b	si	0.0	1.0	7
homa_b	mi	0.0	1.0	7
homa_b	tau_m	0.42857142857142866	0.337368311085824	7
homa_b	sg	0.14285714285714288	0.7599453002180929	7
