gold	param	spearman_r	p_value	n
sspg	si	-0.3571428571428572	0.4316113520383278	7
sspg	mi	-0.42857142857142866	0.337368311085824	7
sspg	tau_m	-0.7857142857142859	0.03623846267982714	7
sspg	sg	0.6785714285714287	0.0937502539598313	7
di	si	0.1785714285714286	0.7016579425162729	7
di	mi	0.28571428571428575	0.5345092286010406	7
di	tau_m	0.5714285714285715	0.1802019889115274	7
di	sg	-0.7142857142857144	0.0713435614675376	7
homa_ir	si	-0.5357142857142858	0.21521745567801273	7
homa_ir	mi	-0.5	0.2531699951003227	7
homa_ir	tau_m	-0.5714285714285715	0.1802019889115274	7
homa_ir	sg	0.7857142857142859	0.03623846267982714	7
homa_b	si	-0.5714285714285715	0.1802019889115274	7
homa_b	mi	-0.5	0.2531699951003227	7
homa_b	tau_m	0.42857142857142866	0.337368311085824	7
homa_b	sg	-0.1785714285714286	0.7016579425162729	7
