gold	param	spearman_r	p_value	n
sspg	si	-0.39285714285714296	0.38331687042697266	7
sspg	mi	-0.28571428571428575	0.5345092286010406	7
sspg	tau_m	-0.5357142857142858	0.21521745567801273	7
sspg	sg	-0.39285714285714296	0.38331687042697266	7
di	si	0.6785714285714287	0.0937502539598313	7
di	mi	0.5357142857142858	0.21521745567801273	7
di	tau_m	0.7500000000000002	0.05218140045705776	7
di	sg	0.6785714285714287	0.0937502539598313	7
homa_ir	si	-0.642857142857143	0.11939237342741094	7
homa_ir	mi	-0.6071428571428572	0.1482311614811614	7
homa_ir	tau_m	-0.7500000000000002	0.05218140045705776	7
homa_ir	sg	-0.642857142857143	0.11939237342741094	7
homa_b	si	0.28571428571428575	0.5345092286010406	7
homa_b	mi	0.21428571428571433	0.6445115810207203	7
homa_b	tau_m	0.3214285714285715	0.4820720382996776	7
homa_b	sg	0.28571428571428575	0.5345092286010406	7
