gold	param	spearman_r	p_value	n
sspg	si	-0.7857142857142859	0.03623846267982714	7
sspg	mi	-0.7857142857142859	0.03623846267982714	7
sspg	tau_m	-0.7857142857142859	0.03623846267982714	7
sspg	sg	-0.6785714285714287	0.0937502539598313	7
di	si	0.5714285714285715	0.1802019889115274	7
di	mi	0.5714285714285715	0.1802019889115274	7
di	tau_m	0.5714285714285715	0.1802019889115274	7
di	sg	0.5357142857142858	0.21521745567801273	7
homa_ir	si	-0.5714285714285715	0.1802019889115274	7
homa_ir	mi	-0.5714285714285715	0.1802019889115274	7
homa_ir	tau_m	-0.5714285714285715	0.1802019889115274	7
homa_ir	sg	-0.3571428571428572	0.4316113520383278	7
homa_b	si	0.42857142857142866	0.337368311085824	7
homa_b	mi	0.42857142857142866	0.337368311085824	7
homa_b	tau_m	0.42857142857142866	0.337368311085824	7
homa_b	sg	0.5714285714285715	0.1802019889115274	7
