gold	param	spearman_r	p_value	n
sspg	si	0.4285714285714286	0.3965014577259474	6
sspg	mi	-0.08571428571428573	0.8717434402332361	6
sspg	tau_m	-0.3142857142857143	0.5440932944606414	6
sspg	sg	-0.2571428571428572	0.6227871720116618	6
di	si	0.08571428571428573	0.8717434402332361	6
di	mi	0.14285714285714288	0.7871720116618075	6
di	tau_m	0.3142857142857143	0.5440932944606414	6
di	sg	0.2571428571428572	0.6227871720116618	6
homa_ir	si	-0.07142857142857144	0.8790481931481541	7
homa_ir	mi	-0.14285714285714288	0.7599453002180929	7
homa_ir	tau_m	0.0	1.0	7
homa_ir	sg	-0.25	0.5887244480896833	7
homa_b	si	-0.14285714285714288	0.7599453002180929	7
homa_b	mi	0.03571428571428572	0.9394082054712856	7
homa_b	tau_m	0.3571428571428572	0.4316113520383278	7
homa_b	sg	0.0	1.0	7
