gold	param	spearman_r	p_value	n
sspg	si	0.14285714285714288	0.7871720116618075	6
sspg	mi	0.14285714285714288	0.7871720116618075	6
sspg	tau_m	0.3714285714285715	0.46847813411078715	6
sspg	sg	-0.08571428571428573	0.8717434402332361	6
di	si	0.2571428571428572	0.6227871720116618	6
di	mi	0.2571428571428572	0.6227871720116618	6
di	tau_m	0.14285714285714288	0.7871720116618075	6
di	sg	-0.08571428571428573	0.8717434402332361	6
homa_ir	si	0.0	1.0	7
homa_ir	mi	0.14285714285714288	0.7599453002180929	7
homa_ir	tau_m	0.21428571428571433	0.6445115810207203	7
homa_ir	sg	0.1785714285714286	0.7016579425162729	7
homa_b	si	0.0	1.0	7
homa_b	mi	0.1785714285714286	0.7016579425162729	7
homa_b	tau_m	0.28571428571428575	0.5345092286010406	7
homa_b	sg	0.03571428571428572	0.9394082054712856	7
