gold	param	spearman_r	p_value	n
sspg	si	0.4285714285714286	0.3965014577259474	6
sspg	mi	0.3714285714285715	0.46847813411078715	6
sspg	tau_m	-0.14285714285714288	0.7871720116618075	6
sspg	sg	-0.2571428571428572	0.6227871720116618	6
di	si	0.028571428571428574	0.9571545189504373	6
di	mi	0.14285714285714288	0.7871720116618075	6
di	tau_m	0.2	0.704	6
di	sg	0.2571428571428572	0.6227871720116618	6
homa_ir	si	0.4642857142857144	0.2939341076002517	7
homa_ir	mi	0.07142857142857144	0.8790481931481541	7
homa_ir	tau_m	0.28571428571428575	0.5345092286010406	7
homa_ir	sg	0.0	1.0	7
homa_b	si	0.5357142857142858	0.21521745567801273	7
homa_b	mi	0.10714285714285716	0.8191508555699912	7
homa_b	tau_m	0.5714285714285715	0.1802019889115274	7
homa_b	sg	0.21428571428571433	0.6445115810207203	7
