nonseq_dim,mech_param,pearson_r
z_nonseq_0,tau_m,0.9491555526758838
z_nonseq_0,Gb,-0.9719827042241439
z_nonseq_0,sg,-0.9611029009655326
z_nonseq_0,si,-0.9551372373059305
z_nonseq_0,p2,-0.9859574637489944
z_nonseq_0,mi,-0.989930718974982
z_nonseq_0,z_init_0,-0.9570176848269409
z_nonseq_0,z_init_1,-0.8703503448235934
z_nonseq_0,z_init_2,0.07724443493800286
z_nonseq_0,z_init_3,-0.21857810668367372
z_nonseq_1,tau_m,0.5975910834547422
z_nonseq_1,Gb,-0.5930006357553976
z_nonseq_1,sg,-0.2687510905344199
z_nonseq_1,si,-0.5771921549923865
z_nonseq_1,p2,-0.5325546989004323
z_nonseq_1,mi,-0.3353912823304919
z_nonseq_1,z_init_0,-0.19049711710105363
z_nonseq_1,z_init_1,-0.7373766533095549
z_nonseq_1,z_init_2,-0.537251195353639
z_nonseq_1,z_init_3,0.5201405275197608
z_nonseq_2,tau_m,-0.8207240719343654
z_nonseq_2,Gb,0.7602771864695546
z_nonseq_2,sg,0.595278105231584
z_nonseq_2,si,0.8090958578539112
z_nonseq_2,p2,0.7279562183729728
z_nonseq_2,mi,0.6002690742409539
z_nonseq_2,z_init_0,0.5059095728255866
z_nonseq_2,z_init_1,0.8747838659669569
z_nonseq_2,z_init_2,0.24040739402424782
z_nonseq_2,z_init_3,-0.46720344200958114
z_nonseq_3,tau_m,-0.5984541780706678
z_nonseq_3,Gb,0.542262863670548
z_nonseq_3,sg,0.444660545228995
z_nonseq_3,si,0.5902699176701037
z_nonseq_3,p2,0.5325433699147276
z_nonseq_3,mi,0.45621774850777186
z_nonseq_3,z_init_0,0.4051736182807236
z_nonseq_3,z_init_1,0.6201554463852093
z_nonseq_3,z_init_2,-0.23738302706225128
z_nonseq_3,z_init_3,-0.16342448835370763
z_nonseq_4,tau_m,0.9395777009115468
z_nonseq_4,Gb,-0.9665547680521315
z_nonseq_4,sg,-0.9627574516967985
z_nonseq_4,si,-0.9453977143446317
z_nonseq_4,p2,-0.9795629077117693
z_nonseq_4,mi,-0.9894416519612449
z_nonseq_4,z_init_0,-0.9634494950496962
z_nonseq_4,z_init_1,-0.8513149792709912
z_nonseq_4,z_init_2,0.1001904089693453
z_nonseq_4,z_init_3,-0.25613384965908487
z_nonseq_5,tau_m,-0.8709517402255954
z_nonseq_5,Gb,0.9258628069775007
z_nonseq_5,sg,0.7594993834848841
z_nonseq_5,si,0.8679754607803232
z_nonseq_5,p2,0.9106813149736203
z_nonseq_5,mi,0.8327137431243389
z_nonseq_5,z_init_0,0.7403915594744769
z_nonseq_5,z_init_1,0.8857558580395972
z_nonseq_5,z_init_2,0.3014941594834967
z_nonseq_5,z_init_3,0.013873828050301504
z_nonseq_6,tau_m,0.716044735172883
z_nonseq_6,Gb,-0.7744316780889418
z_nonseq_6,sg,-0.5423309856650754
z_nonseq_6,si,-0.7087646531378362
z_nonseq_6,p2,-0.7470397056338561
z_nonseq_6,mi,-0.6282023186567006
z_nonseq_6,z_init_0,-0.5039835384187964
z_nonseq_6,z_init_1,-0.8008713113720173
z_nonseq_6,z_init_2,-0.5940884520276876
z_nonseq_6,z_init_3,0.2167106346426387
z_nonseq_7,tau_m,-0.21093787310695514
z_nonseq_7,Gb,0.3384725634135334
z_nonseq_7,sg,0.23744814302395803
z_nonseq_7,si,0.21840250017453425
z_nonseq_7,p2,0.3389761835341126
z_nonseq_7,mi,0.32675865594338177
z_nonseq_7,z_init_0,0.2829469522459927
z_nonseq_7,z_init_1,0.22466858350356916
z_nonseq_7,z_init_2,0.3699913779886254
z_nonseq_7,z_init_3,0.31897488053208856
z_nonseq_8,tau_m,-0.9702882591722206
z_nonseq_8,Gb,0.9783740026680754
z_nonseq_8,sg,0.94856159598424
z_nonseq_8,si,0.9738511993677106
z_nonseq_8,p2,0.9900164784657078
z_nonseq_8,mi,0.9730609861489722
z_nonseq_8,z_init_0,0.9203111170788025
z_nonseq_8,z_init_1,0.9204036741062506
z_nonseq_8,z_init_2,0.08679315746691343
z_nonseq_8,z_init_3,0.05547107835988312
z_nonseq_9,tau_m,0.70726326738879
z_nonseq_9,Gb,-0.7930244333012935
z_nonseq_9,sg,-0.7622218639925697
z_nonseq_9,si,-0.7148888646964697
z_nonseq_9,p2,-0.8030210730015217
z_nonseq_9,mi,-0.8167408518597391
z_nonseq_9,z_init_0,-0.7883068279998405
z_nonseq_9,z_init_1,-0.6449587391760175
z_nonseq_9,z_init_2,-0.12006946927425784
z_nonseq_9,z_init_3,-0.35078009750609435
z_nonseq_10,tau_m,-0.8427941397529222
z_nonseq_10,Gb,0.8885770945699702
z_nonseq_10,sg,0.9445695863587807
z_nonseq_10,si,0.8532727710968464
z_nonseq_10,p2,0.9086235342332806
z_nonseq_10,mi,0.9625646052133916
z_nonseq_10,z_init_0,0.9742290127421417
z_nonseq_10,z_init_1,0.709519066176925
z_nonseq_10,z_init_2,-0.2509313984518625
z_nonseq_10,z_init_3,0.4582779996916273
z_nonseq_11,tau_m,-0.961279653875291
z_nonseq_11,Gb,0.9884082750925772
z_nonseq_11,sg,0.9076786786129571
z_nonseq_11,si,0.9626928997425568
z_nonseq_11,p2,0.9891644911804083
z_nonseq_11,mi,0.9534108576753421
z_nonseq_11,z_init_0,0.8943751475067453
z_nonseq_11,z_init_1,0.9216281048549881
z_nonseq_11,z_init_2,0.02619648054036648
z_nonseq_11,z_init_3,0.11600962471562366
z_nonseq_12,tau_m,0.9443122657899911
z_nonseq_12,Gb,-0.9571689595898549
z_nonseq_12,sg,-0.7754373027028596
z_nonseq_12,si,-0.9369533237480637
z_nonseq_12,p2,-0.9288903784319477
z_nonseq_12,mi,-0.8267031818578677
z_nonseq_12,z_init_0,-0.734939508589167
z_nonseq_12,z_init_1,-0.9644227754429292
z_nonseq_12,z_init_2,-0.1838997257147131
z_nonseq_12,z_init_3,0.1436985693523879
z_nonseq_13,tau_m,-0.9435393081381768
z_nonseq_13,Gb,0.9630474291957712
z_nonseq_13,sg,0.9635346460265847
z_nonseq_13,si,0.9484580915568059
z_nonseq_13,p2,0.9696985411510411
z_nonseq_13,mi,0.9811012527643891
z_nonseq_13,z_init_0,0.966794410966944
z_nonseq_13,z_init_1,0.8451487125812542
z_nonseq_13,z_init_2,-0.2036468604140167
z_nonseq_13,z_init_3,0.2525150491201813
z_nonseq_14,tau_m,-0.9488358201640728
z_nonseq_14,Gb,0.982113371967209
z_nonseq_14,sg,0.8827503302370795
z_nonseq_14,si,0.9484031416697177
z_nonseq_14,p2,0.9786783645315862
z_nonseq_14,mi,0.9322430226974255
z_nonseq_14,z_init_0,0.8625819674082632
z_nonseq_14,z_init_1,0.9245474224109343
z_nonseq_14,z_init_2,0.1513087444583769
z_nonseq_14,z_init_3,0.06000667221064149
z_nonseq_15,tau_m,0.07785823504351481
z_nonseq_15,Gb,-0.1486524124442244
z_nonseq_15,sg,-0.420968391014814
z_nonseq_15,si,-0.10001612887255487
z_nonseq_15,p2,-0.19854860094388352
z_nonseq_15,mi,-0.3941379994545185
z_nonseq_15,z_init_0,-0.5300566746629026
z_nonseq_15,z_init_1,0.14395807014368892
z_nonseq_15,z_init_2,0.6661544824498156
z_nonseq_15,z_init_3,-0.9011912597025533
