gold	param	spearman_r	p_value	n
sspg	si	-0.19999999999999998	0.8	4
sspg	mi	-0.19999999999999998	0.8	4
sspg	tau_m	0.19999999999999998	0.8	4
sspg	sg	-0.19999999999999998	0.8	4
di	si	-0.7999999999999999	0.20000000000000007	4
di	mi	-0.7999999999999999	0.20000000000000007	4
di	tau_m	0.7999999999999999	0.20000000000000007	4
di	sg	-0.7999999999999999	0.20000000000000007	4
homa_ir	si	0.7999999999999999	0.20000000000000007	4
homa_ir	mi	0.7999999999999999	0.20000000000000007	4
homa_ir	tau_m	-0.7999999999999999	0.20000000000000007	4
homa_ir	sg	0.7999999999999999	0.20000000000000007	4
homa_b	si	-0.19999999999999998	0.8	4
homa_b	mi	-0.19999999999999998	0.8	4
homa_b	tau_m	0.19999999999999998	0.8	4
homa_b	sg	-0.19999999999999998	0.8	4
