nonseq_dim,mech_param,pearson_r
z_nonseq_0,tau_m,-0.708418677517717
z_nonseq_0,Gb,0.2604137263925239
z_nonseq_0,sg,-0.6501001075387036
z_nonseq_0,si,-0.3621438092698486
z_nonseq_0,p2,-0.6700821521593492
z_nonseq_0,mi,-0.17862739619799065
z_nonseq_0,z_init_0,-0.3069664418026889
z_nonseq_0,z_init_1,-0.4155626066222192
z_nonseq_0,z_init_2,0.1320445752268723
z_nonseq_0,z_init_3,0.3270076361311925
z_nonseq_1,tau_m,0.8812921653724028
z_nonseq_1,Gb,-0.6998296215556438
z_nonseq_1,sg,0.6238143116611653
z_nonseq_1,si,0.719465835109242
z_nonseq_1,p2,0.4268858710253193
z_nonseq_1,mi,0.6477095824039908
z_nonseq_1,z_init_0,-0.17296116439535555
z_nonseq_1,z_init_1,0.5775229942866189
z_nonseq_1,z_init_2,-0.32964049048585065
z_nonseq_1,z_init_3,0.0027796553147848894
z_nonseq_2,tau_m,0.9421841692455796
z_nonseq_2,Gb,-0.7862047884774613
z_nonseq_2,sg,0.6361804473725597
z_nonseq_2,si,0.8855884202559514
z_nonseq_2,p2,0.3304747507070687
z_nonseq_2,mi,0.7738509392281333
z_nonseq_2,z_init_0,-0.40504222740598367
z_nonseq_2,z_init_1,0.7038768226171258
z_nonseq_2,z_init_2,-0.4330702919324394
z_nonseq_2,z_init_3,0.044696836245331516
z_nonseq_3,tau_m,0.9811164451355517
z_nonseq_3,Gb,-0.4093366326513758
z_nonseq_3,sg,0.877531553437967
z_nonseq_3,si,0.8324228796466467
z_nonseq_3,p2,0.7032651631006498
z_nonseq_3,mi,0.41398222624488923
z_nonseq_3,z_init_0,-0.05618611237862964
z_nonseq_3,z_init_1,0.8959232207566258
z_nonseq_3,z_init_2,-0.22027139837470947
z_nonseq_3,z_init_3,-0.41105970053652496
z_nonseq_4,tau_m,-0.9539383167655503
z_nonseq_4,Gb,0.7635541875219398
z_nonseq_4,sg,-0.6600427410343248
z_nonseq_4,si,-0.8969493288716299
z_nonseq_4,p2,-0.3515384483007014
z_nonseq_4,mi,-0.7584277753555262
z_nonseq_4,z_init_0,0.4038928116484148
z_nonseq_4,z_init_1,-0.7375860313709139
z_nonseq_4,z_init_2,0.41584569824519657
z_nonseq_4,z_init_3,-0.02132223932459731
z_nonseq_5,tau_m,0.4458570189580419
z_nonseq_5,Gb,0.4657318322282352
z_nonseq_5,sg,0.7474267603298775
z_nonseq_5,si,0.25483979670555956
z_nonseq_5,p2,0.8490080884679856
z_nonseq_5,mi,-0.41840541104087864
z_nonseq_5,z_init_0,0.5208826474557259
