gold	param	spearman_r	p_value	n
sspg	si	0.14285714285714288	0.7871720116618075	6
sspg	mi	0.6	0.20799999999999982	6
sspg	tau_m	-0.3142857142857143	0.5440932944606414	6
sspg	sg	-0.14285714285714288	0.7871720116618075	6
di	si	0.028571428571428574	0.9571545189504373	6
di	mi	-0.3142857142857143	0.5440932944606414	6
di	tau_m	0.3142857142857143	0.5440932944606414	6
di	sg	0.028571428571428574	0.9571545189504373	6
homa_ir	si	0.21428571428571433	0.6445115810207203	7
homa_ir	mi	0.1785714285714286	0.7016579425162729	7
homa_ir	tau_m	0.0	1.0	7
homa_ir	sg	0.1785714285714286	0.7016579425162729	7
homa_b	si	0.42857142857142866	0.337368311085824	7
homa_b	mi	-0.10714285714285716	0.8191508555699912	7
homa_b	tau_m	0.3571428571428572	0.4316113520383278	7
homa_b	sg	0.21428571428571433	0.6445115810207203	7
