experiment,target,n_train,pearson_r_train,spearman_r_train,r2_train,rmse_train,mae_train
v17_Exp1_Wang_Baseline,sspg,63,,,-0.00034275803303818186,74.4323985800991,64.00544183796787
v17_Exp1_Wang_Baseline,di,63,,,-0.0004257903223046089,1.1240322446193103,0.8595077325627951
v17_Exp2_GV_Baseline,sspg,63,0.3618265256082716,0.2929792763262525,0.09462712857667,70.81109931714909,61.388485807394034
v17_Exp2_GV_Baseline,di,63,0.3974293880956999,0.41527956127655946,0.09373721398865587,1.0698266291230776,0.7792364369947412
v17_Exp3_VarMatch,sspg,63,0.3557843418356469,0.3244333700803413,-0.06859298411794912,76.92965014084947,64.78711645910883
v17_Exp3_VarMatch,di,63,0.3823767428652634,0.435489097202745,-0.14985727018395445,1.205058965160539,0.8448300816961132
v17_Exp4_Ortho_16D,sspg,63,0.3618265256082716,0.2929792763262525,0.09462712857667,70.81109931714909,61.388485807394034
v17_Exp4_Ortho_16D,di,63,0.3974293880956999,0.41527956127655946,0.09373721398865587,1.0698266291230776,0.7792364369947412
v17_Exp5_Finetune_16D,sspg,63,0.3883549641269009,0.3549270334907937,0.08983904056667247,70.99809558097947,61.2784350427997
v17_Exp5_Finetune_16D,di,63,0.4215188595978981,0.46568339197132164,0.1054610681408511,1.0628842057909604,0.7611919483311244
v17_Exp6_Combined,sspg,63,0.3799503285084714,0.3646273799615203,-0.028412240376311404,75.46945550349773,63.55069441877536
v17_Exp6_Combined,di,63,0.4257966355679973,0.4831327181213654,-0.1432474687902825,1.2015904128556745,0.8628806637101769
