gold	param	spearman_r	p_value	n
sspg	si	0.5	0.6666666666666667	3
sspg	mi	0.5	0.6666666666666667	3
sspg	tau_m	0.5	0.6666666666666667	3
sspg	sg	0.5	0.6666666666666667	3
di	si	-0.5	0.6666666666666667	3
di	mi	-0.5	0.6666666666666667	3
di	tau_m	-0.5	0.6666666666666667	3
di	sg	-0.5	0.6666666666666667	3
homa_ir	si	-0.5	0.6666666666666667	3
homa_ir	mi	-0.5	0.6666666666666667	3
homa_ir	tau_m	1.0	0.0	3
homa_ir	sg	1.0	0.0	3
homa_b	si	-0.5	0.6666666666666667	3
homa_b	mi	-0.5	0.6666666666666667	3
homa_b	tau_m	1.0	0.0	3
homa_b	sg	1.0	0.0	3
