config,seed,target,train_r,train_rho,train_r2,d4_raw_r,d4_raw_rho,d4_raw_r2,d4_raw_rmse,d4_cal_r,d4_cal_rho,d4_cal_r2,d4_cal_rmse
Exp2_GV_Baseline,7,sspg,0.36102505098126964,0.363931067962384,0.0994646052648368,0.7481473471470561,0.7293233082706766,0.2201202430100878,70.49005529654397,0.7481473471470559,0.7293233082706766,0.27627119922956356,67.90503153926579
Exp2_GV_Baseline,7,di,0.3582487915158693,0.34574627674192804,0.08423101139098321,0.6676145249914769,0.6617647058823529,0.09846928163048652,0.688379817901192,0.6676145249914772,0.6617647058823529,-0.4263059576240744,0.8658530927882301
Exp5_Finetune_16D,7,sspg,0.3227912362701469,0.3128121629223421,0.09671600711381612,0.6940973289585108,0.8075187969924811,0.19763247898298897,71.49912018099022,0.6940973289585111,0.8075187969924811,0.2433826506332465,69.43080093172192
Exp5_Finetune_16D,7,di,0.34597185072620285,0.3564510903085299,0.1176107987401267,0.6462790784235798,0.5970588235294118,-0.2153596012316945,0.7992640191345184,0.6462790784235797,0.5970588235294118,-0.24313677783420196,0.8083460528627003
Exp2_GV_Baseline,13,sspg,0.312463658828083,0.3669324127862474,0.08208091529654615,0.5038263239413798,0.6165413533834586,0.08885980735662857,76.19151861847034,0.5038263239413796,0.6165413533834586,0.14694784383560622,73.72279974723018
Exp2_GV_Baseline,13,di,0.3602308907199409,0.3579872070535131,0.11624290501086276,0.6693411039277253,0.6029411764705882,0.033144794110660514,0.7128835353499308,0.6693411039277253,0.6029411764705882,0.20912137588270963,0.6447521265722693
Exp5_Finetune_16D,13,sspg,0.34552054608019095,0.3665722514073838,0.10619887588248134,0.5732064964676686,0.675187969924812,0.10635512864722663,75.4564746648684,0.5732064964676685,0.675187969924812,0.16473011584995212,72.95035992293116
Exp5_Finetune_16D,13,di,0.3817480337665391,0.35090666893210604,0.12272974760674404,0.6631901356528241,0.6147058823529412,0.05762831973280058,0.7037995383920259,0.6631901356528243,0.6147058823529412,0.269107872344968,0.6198184598359073
Exp2_GV_Baseline,21,sspg,0.38702268736342654,0.35252595763170297,0.1178818716304596,0.6734705023233365,0.6872180451127818,0.190038020927065,71.83669506086281,0.6734705023233366,0.6872180451127818,0.27361809781792523,68.02938345577338
Exp2_GV_Baseline,21,di,0.37885073763714416,0.36523575794390273,0.07891196034546033,0.5917180761955254,0.5441176470588236,0.2703089445842667,0.6193089777895797,0.5917180761955253,0.5441176470588236,-0.1068347046981799,0.7627447875127931
Exp5_Finetune_16D,21,sspg,0.40975657455652176,0.42230122209688,0.14007064991023388,0.695904897692975,0.7082706766917292,0.17036762492907243,72.70376022799235,0.695904897692975,0.7082706766917292,0.23511111792828054,69.80928687748892
Exp5_Finetune_16D,21,di,0.37266741751687216,0.4210880027185272,0.08604781542709494,0.5756433155693007,0.538235294117647,0.21657312660158412,0.6417074729278485,0.5756433155693008,0.538235294117647,-0.12763803967599863,0.76987944294466
Exp2_GV_Baseline,42,sspg,0.3618265256082716,0.2929792763262525,0.09462712857667,0.6660229937135949,0.7593984962406014,0.13500452694240728,74.23709084744526,0.6660229937135946,0.7593984962406014,0.2463475279391576,69.294631792378
Exp2_GV_Baseline,42,di,0.3974293880956999,0.41527956127655946,0.09373721398865587,0.6801560397756925,0.6588235294117648,0.30837757123607634,0.6029376428649019,0.6801560397756926,0.6588235294117648,0.32303183484511233,0.5965158496766206
Exp5_Finetune_16D,42,sspg,0.3883549641269009,0.3549270334907937,0.08983904056667247,0.5952318790986992,0.6105263157894737,0.1149972879725284,75.09073031433793,0.595231879098699,0.6105263157894737,0.22648233347360414,70.20194519199326
Exp5_Finetune_16D,42,di,0.4215188595978981,0.46568339197132164,0.1054610681408511,0.6711856034891523,0.6647058823529411,0.3230196184447518,0.5965212319412088,0.671185603489152,0.6647058823529411,0.32406758249025014,0.5960593463873949
Exp2_GV_Baseline,84,sspg,0.33142956778357185,0.3429696757125218,0.09960645483467545,0.52226959494018,0.5909774436090225,0.06921799021847641,77.00838538056114,0.5222695949401797,0.5909774436090225,0.03821745391674258,78.28029851667824
Exp2_GV_Baseline,84,di,0.3497771155513144,0.3153839692043689,0.10168320608320658,0.6804888313337843,0.5823529411764706,0.2142844625394762,0.6426441154104912,0.6804888313337843,0.5823529411764706,0.28198085370961556,0.6143358745443681
Exp5_Finetune_16D,84,sspg,0.2133898572746053,0.30176721397052464,0.03539378791733783,0.5133074252519971,0.6406015037593984,0.06853145353905199,77.03678050169697,0.5133074252519969,0.6406015037593984,0.037373787635112676,78.31462434846001
Exp5_Finetune_16D,84,di,0.3526458918260349,0.32882499072297217,0.09018679732643853,0.7083638855880627,0.6794117647058824,0.14816396086133854,0.6691382704786688,0.7083638855880627,0.6794117647058824,0.2181513225599816,0.641060794389855
