experiment,meal_type,sspg_n,sspg_pearson_r,sspg_spearman_r,sspg_r2,sspg_rmse,sspg_mae,di_n,di_pearson_r,di_spearman_r,di_r2,di_rmse,di_mae
v18_Exp1_Wang_Baseline,Cornflakes,20,,,-0.007943903110529948,80.13683915583468,63.52285614013672,16,,,-0.10312760983935432,0.7614663948055093,0.6288288482488278
v18_Exp1_Wang_Baseline,PB_sandwich,20,,,-0.007943903110529948,80.13683915583468,63.52285614013672,16,,,-0.10312760983935432,0.7614663948055093,0.6288288482488278
v18_Exp1_Wang_Baseline,Protein_bar,20,,,-0.007943903110529948,80.13683915583468,63.52285614013672,16,,,-0.10312760983935432,0.7614663948055093,0.6288288482488278
v18_Exp5_GV_Baseline,Cornflakes,20,0.39204008378102473,0.6150375939849623,-0.22365000172271587,88.29632640136248,52.39313449859619,16,0.6121876113046626,0.7205882352941175,-2.6337572767103983,1.3820247532033505,1.26012779220093
v18_Exp5_GV_Baseline,PB_sandwich,20,0.22834744042225552,0.2571428571428572,-0.35394436347536695,92.87833828730251,60.42375717163086,16,0.48932248146368246,0.5205882352941177,-2.8971576788785507,1.431237983090177,1.2941367421959709
v18_Exp5_GV_Baseline,Protein_bar,20,0.4986712958251553,0.8105263157894737,-0.3396645409646246,92.38725393607017,56.80331573486328,16,0.622211559051545,0.5411764705882353,-2.921168987899452,1.4356403102043538,1.3051342759941886
v18_Exp6_Separate_Heads,Cornflakes,20,0.3731681429997785,0.5413533834586466,0.020804854366563208,78.98573308752863,64.84605331420899,16,-0.5892110249181957,-0.5911764705882353,-2.0970214597482846,1.2758804173302154,1.08199533208359
v18_Exp6_Separate_Heads,PB_sandwich,20,0.11540031329105435,0.1639097744360902,-0.11752309535996153,84.38053624780375,65.1916072845459,16,-0.37260783937580644,-0.4058823529411764,-2.002686354480012,1.256298524266324,1.0817016748999428
v18_Exp6_Separate_Heads,Protein_bar,20,0.40725992343689454,0.49624060150375937,0.09013217900485526,76.13830079471413,58.86939926147461,16,-0.6260476480703803,-0.6882352941176471,-2.0207206048794064,1.2600655652527326,1.0706989405964684
v18_Exp7_EarlyStop,Cornflakes,20,0.23672222264247428,0.35639097744360904,0.05469913561600792,77.60667108728302,55.84013404846191,16,-0.562480962830818,-0.5882352941176471,-2.2476882805093528,1.3065469892644797,1.1162757067297768
v18_Exp7_EarlyStop,PB_sandwich,20,-0.08685785979131581,-0.11729323308270674,-0.06552278168283232,82.39396397149386,60.419934844970705,16,-0.3524709015776406,-0.4058823529411764,-2.176537902694956,1.2921558119262968,1.119042971572764
v18_Exp7_EarlyStop,Protein_bar,20,0.12080462020872082,-0.0706766917293233,0.0129048382942476,79.30371620407116,57.405618286132814,16,-0.6260529085262238,-0.6882352941176471,-2.1941151665037326,1.2957259299471373,1.1086493520354104
v18_Exp8_CorrLoss,Cornflakes,20,0.22000175007928158,0.10977443609022557,0.027358492861190298,78.72096820055948,52.98828353881836,16,-0.533530934504794,-0.5,-2.5412824485404295,1.3643259759762747,1.169874572596438
v18_Exp8_CorrLoss,PB_sandwich,20,-0.08470422213624344,-0.1263157894736842,-0.10771282464106968,84.00934900137989,59.69506645202637,16,-0.36399903248765764,-0.3911764705882353,-2.4802821315220163,1.3525243428775906,1.1735335676287484
v18_Exp8_CorrLoss,Protein_bar,20,0.10013173372845136,-0.14285714285714285,-0.03507748453095161,81.20830731638267,56.50660591125488,16,-0.6206729068184275,-0.6941176470588235,-2.5165641488078876,1.3595561117255939,1.1660010306452584
v18_Exp9_Full_Combo,Cornflakes,20,0.3785449865853458,0.6436090225563909,0.046684569108607854,77.934963943267,60.10182876586914,16,-0.6021718825986363,-0.6088235294117647,-0.8639125420512359,0.9898072482472391,0.824686984786582
v18_Exp9_Full_Combo,PB_sandwich,20,0.3345567456444655,0.44060150375939844,0.012292856383154027,79.32829586046842,62.22159996032715,16,-0.5129325074756751,-0.5558823529411765,-0.7290208260037807,0.9533184026554189,0.7976195023151159
v18_Exp9_Full_Combo,Protein_bar,20,0.63017178299022,0.8406015037593983,0.023625838825642842,78.87187517163632,61.97276153564453,16,-0.6501210131393111,-0.6558823529411765,-0.7363785828256921,0.9553446473601779,0.8001692102046728
