model,setting,sspg_spearman,sspg_rmse,di_spearman,di_rmse,invasive_feature,icc_sspg_pred,icc_di_pred
GV_26D_Exp8,D4_gold_overall,0.7172932330827068,70.25557378366078,0.538235294117647,0.5550290028099968,no,0.1388676972982639,0.1283308064981678
Healey_with_FI_proxy,D4_gold_overall,0.4526315789473684,68.54191781817943,0.2058823529411765,0.821289247379861,yes,,
Metwally_Exp2,D4_gold_overall,0.7218045112781954,69.74674307534839,0.5705882352941177,0.7656058580411036,no,,
SimpleStats_Exp4,D4_gold_overall,0.7368421052631579,71.20417181763194,0.6970588235294117,0.8692268625889782,no,,
Wang_Exp1,D4_gold_overall,0.1039089783992365,80.12894086294581,0.1815150473605443,0.7609582658999854,no,,
GV_10D_head_v20,D4_gold_weighted_per_meal,0.5754385964912281,78.99738780694628,0.5823529411764706,0.7635678203172711,no,-0.201290792245647,-0.2582365333389664
GV_26D_Exp8,D4_gold_weighted_per_meal,0.5979949874686716,75.42618233931061,0.5705882352941175,0.7038417919553388,no,0.1388676972982639,0.1283308064981678
Healey_CGM_only,D4_gold_weighted_per_meal,0.32631578947368417,82.10656808992309,,,no,0.0405631136727772,
Healey_with_FI,D4_gold_weighted_per_meal,0.4551378446115288,69.57792921882047,,,yes,0.7199643854301904,
Metwally_Exp2,D4_gold_weighted_per_meal,0.5208020050125313,74.79380059605356,0.5098039215686274,0.7727975618433235,no,,
