model,target,covariate,spearman_rho,pvalue,n
Ridge10D,sspg_abs_residual,uncertainty_score,-0.09539363834711129,0.1483762770149654,231
Ridge10D,sspg_abs_residual,carb_g,-0.11417705978624136,0.08334581651398248,231
Ridge10D,sspg_abs_residual,fat_g,0.1768892359076396,0.0070349436178380725,231
Ridge10D,sspg_abs_residual,protein_g,0.06168969498898414,0.3506107672065619,231
Ridge10D,sspg_abs_residual,fiber_g,0.1768892359076396,0.0070349436178380725,231
Ridge10D,sspg_abs_residual,G_120,-0.18366192042793641,0.005108119215125272,231
Ridge10D,sspg_abs_residual,AUC,-0.17918983412892125,0.006317822395729655,231
Ridge10D,sspg_abs_residual,CV,-0.06073761370351944,0.3581098130814029,231
Ridge26D,sspg_abs_residual,uncertainty_score,-0.17486610659093407,0.0077246649768077935,231
Ridge26D,sspg_abs_residual,carb_g,-0.2620159542272369,5.545749721840969e-05,231
Ridge26D,sspg_abs_residual,fat_g,0.37642126485212823,3.4453265868448218e-09,231
Ridge26D,sspg_abs_residual,protein_g,0.11147264883146729,0.09096697544759362,231
Ridge26D,sspg_abs_residual,fiber_g,0.37642126485212823,3.4453265868448218e-09,231
Ridge26D,sspg_abs_residual,G_120,-0.15014894375894494,0.022451442485300333,231
Ridge26D,sspg_abs_residual,AUC,-0.15832281041316376,0.016020211058990003,231
Ridge26D,sspg_abs_residual,CV,-0.1534305044283888,0.0196416916460508,231
Metwally14,sspg_abs_residual,uncertainty_score,0.08378840703596356,0.2045132964791071,231
Metwally14,sspg_abs_residual,carb_g,-0.04818932920883168,0.4660843751599858,231
Metwally14,sspg_abs_residual,fat_g,0.10784129159756024,0.1020646318303725,231
Metwally14,sspg_abs_residual,protein_g,0.05987969682276625,0.3649523693643544,231
Metwally14,sspg_abs_residual,fiber_g,0.10784129159756024,0.1020646318303725,231
Metwally14,sspg_abs_residual,G_120,0.22336872420788756,0.000626662086010027,231
Metwally14,sspg_abs_residual,AUC,0.21279145730355564,0.0011381122379792558,231
Metwally14,sspg_abs_residual,CV,-0.01862581209845364,0.7782682026249603,231
