topic,item,value
calibration,Ridge26D_sspg_slope,2.7248583376394047
residual_pattern,Ridge26D_absres_vs_uncertainty_rho,-0.17486610659093407
multilabel,HOMA_B_spearman_26D_minus_10D,-0.03412384716732539
multilabel,HOMA_B_spearman_16D_minus_10D,-0.02371541501976282
multilabel,HOMA_IR_spearman_26D_minus_10D,-0.0030303030303029943
multilabel,HOMA_IR_spearman_16D_minus_10D,-0.4714097496706192
multilabel,cho_hdl_ratio_spearman_26D_minus_10D,-0.0863977924402589
multilabel,cho_hdl_ratio_spearman_16D_minus_10D,-0.13872414423092674
multilabel,fasting_glucose_mg_dl_spearman_26D_minus_10D,-0.03334102154356522
multilabel,fasting_glucose_mg_dl_spearman_16D_minus_10D,-0.03624024080822319
multilabel,fasting_insulin_uiu_ml_spearman_26D_minus_10D,-0.5177400827936796
multilabel,fasting_insulin_uiu_ml_spearman_16D_minus_10D,-0.9305880541331037
multilabel,hba1c_spearman_26D_minus_10D,-0.004746993535578836
multilabel,hba1c_spearman_16D_minus_10D,-0.020372513923526347
multilabel,hdl_mg_dl_spearman_26D_minus_10D,-0.05379571048653936
multilabel,hdl_mg_dl_spearman_16D_minus_10D,-0.380129983658561
multilabel,ldl_mg_dl_spearman_26D_minus_10D,0.06972223595471355
multilabel,ldl_mg_dl_spearman_16D_minus_10D,-0.030841215904353403
multilabel,triglycerides_mg_dl_spearman_26D_minus_10D,-0.07669500050999314
multilabel,triglycerides_mg_dl_spearman_16D_minus_10D,-0.3034855432551792
