model,target,metric,point,ci_lo,ci_hi
Base26D,sspg,spearman,0.7789473684210525,0.5278618809930383,0.9099036897076577
Base26D,sspg,r2,0.16035103605407053,-0.847147316281647,0.24875496912186648
Base26D,sspg,rmse,73.14133881731111,50.4713580041891,95.2145868911497
Base26D,di,spearman,0.6088235294117647,0.043151646541167404,0.8808700370620638
Base26D,di,r2,0.2073516310995005,-0.393475925886607,0.5635909563569463
Base26D,di,rmse,0.6454731026249669,0.34750411517562524,0.923840765364419
Calibrated26D,sspg,spearman,0.7789473684210525,0.5278618809930383,0.9099036897076577
Calibrated26D,sspg,r2,0.07477759547527862,-0.7814857840546411,0.11810291377474605
Calibrated26D,sspg,rmse,76.77805354362897,49.5765969475734,102.007284134372
Calibrated26D,di,spearman,0.6088235294117647,0.043151646541167404,0.8808700370620638
Calibrated26D,di,r2,0.20763088625299186,-0.1968963249944109,0.4021738977535181
Calibrated26D,di,rmse,0.6453593904316556,0.4058583487738291,0.8773222073474172
Calibrated26D_plus16DResidual,sspg,spearman,0.7804511278195487,0.5296544737867359,0.9165734318429951
Calibrated26D_plus16DResidual,sspg,r2,0.0677330074916902,-0.9373118590272678,0.12878566198054292
Calibrated26D_plus16DResidual,sspg,rmse,77.0697910297426,51.65435755678572,100.93793069869918
Calibrated26D_plus16DResidual,di,spearman,0.6147058823529412,0.04969516551559896,0.8988884614023916
Calibrated26D_plus16DResidual,di,r2,0.20067939577890892,-0.2557001963329522,0.43267968435016974
Calibrated26D_plus16DResidual,di,rmse,0.6481840923744349,0.397088297087287,0.895002886219562
