feature_set,target,bin,n,mean_signed_residual,mean_abs_error
10D,sspg,Q1_low,5,-115.85650760199778,115.85650760199778
10D,sspg,Q2,5,-100.4874730509948,100.4874730509948
10D,sspg,Q3,5,-17.24935253757289,50.24253200952632
10D,sspg,Q4_high,5,123.56179339721204,123.56179339721204
10D,di,Q1_low,4,-1.4006167658032096,1.4006167658032096
10D,di,Q2,4,-0.38847800448299596,0.5149345155801929
10D,di,Q3,4,0.3632085185563073,0.3632085185563073
10D,di,Q4_high,4,1.1469836851777138,1.1469836851777138
16D,sspg,Q1_low,5,-7.437969154046097,12.817081721148565
16D,sspg,Q2,5,2.338964510406254,5.405246680635225
16D,sspg,Q3,5,54.91501880155514,54.91501880155514
16D,sspg,Q4_high,5,146.9734035010189,146.9734035010189
16D,di,Q1_low,4,-0.38994211363632525,0.38994211363632525
16D,di,Q2,4,0.0498219771759075,0.18528510053775374
16D,di,Q3,4,0.5062941683246793,0.5062941683246793
16D,di,Q4_high,4,1.2523500026856706,1.2523500026856706
26D,sspg,Q1_low,5,-103.57146426445676,103.57146426445676
26D,sspg,Q2,5,-85.73612469508912,85.73612469508912
26D,sspg,Q3,5,-29.43254328370354,29.43254328370354
26D,sspg,Q4_high,5,92.75386967517117,92.75386967517117
26D,di,Q1_low,4,-0.377421781588804,0.377421781588804
26D,di,Q2,4,-0.013091354897614399,0.1643511182937847
26D,di,Q3,4,0.41993033989401357,0.41993033989401357
26D,di,Q4_high,4,1.18780466901612,1.18780466901612
