block,metric,value,ref
D4_PEAK,DI_R2_Exp8,0.4139217206450144,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v19/v19_overall_metrics.csv
D4_PEAK,SSPG_R2_Exp8,0.2253000725642483,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v19/v19_overall_metrics.csv
D4_PEAK,SSPG_R2_VarMatch_v19,0.2667124872230608,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v19/v19_overall_metrics.csv
D4_LOCKED,Ridge10D_sspg_R2,0.0823606212534102,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_LOCKED,Ridge10D_di_R2,0.293405509792205,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_LOCKED,Ridge26D_sspg_R2,0.1603510360540685,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_LOCKED,Ridge26D_di_R2,0.2073516310994975,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_LOCKED,Metwally14_Ridge_sspg_R2,0.1656110105291075,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_LOCKED,Metwally14_Ridge_di_R2,-0.108724668473072,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_primary_endpoints_locked.csv
D4_CLINICAL_SECONDARY,Ridge10D_IR_AUC,0.8636363636363636,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_CLINICAL_SECONDARY,Ridge10D_DECOMP_AUC,0.952,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_CLINICAL_SECONDARY,Ridge26D_IR_AUC,0.9034090909090908,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_CLINICAL_SECONDARY,Ridge26D_DECOMP_AUC,0.96,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_CLINICAL_SECONDARY,Metwally14_Ridge_IR_AUC,0.8863636363636364,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_CLINICAL_SECONDARY,Metwally14_Ridge_DECOMP_AUC,0.896,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_secondary_clinical_endpoints.csv
D4_16D_CONDITIONAL,bin_low_win26_rate_sspg,0.2280701754385964,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_16d_conditional_utility.csv
D4_16D_CONDITIONAL,bin_mid_win26_rate_sspg,0.2136752136752136,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_16d_conditional_utility.csv
D4_16D_CONDITIONAL,bin_high_win26_rate_sspg,0.4385964912280701,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v22_locked_protocol/v22_16d_conditional_utility.csv
D3_SCORECARD_FILE,path,,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v21_comprehensive/v21_d3_free_living_comprehensive_scorecard.csv
D4_SEMANTIC,loo_decomposition_file,,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v24_semantic_ablation/v24_information_decomposition_loo.csv
REPORTING,peak_vs_locked_table,,/Users/hertz1030/Documents/GitHub/interpretable-cgm-representations/New_paper1_results_glucovector_v27_condition_sweep/v27_peak_vs_locked_reporting_table.csv
