stratum,n_rows,n_subjects,dim,icc1
all,345,30,z00,-0.0613689090853424
all,345,30,z01,0.22764232813212942
all,345,30,z02,-0.07339741250867364
all,345,30,z03,0.06844536375821873
all,345,30,z04,0.21109932741963777
all,345,30,z05,0.1925659369588595
all,345,30,z06,0.4018778158947171
all,345,30,z07,0.2552656197954266
all,345,30,z08,0.17633159924831218
all,345,30,z09,0.24590904125761437
all,345,30,||z_res||16,-0.014704449738628004
meal_type=Cornflakes,117,30,z00,0.8229638760331269
meal_type=Cornflakes,117,30,z01,0.805102507813445
meal_type=Cornflakes,117,30,z02,0.6947231216808154
meal_type=Cornflakes,117,30,z03,0.7912400660965464
meal_type=Cornflakes,117,30,z04,0.7883980364041823
meal_type=Cornflakes,117,30,z05,0.8243557599817257
meal_type=Cornflakes,117,30,z06,0.7391407071310226
meal_type=Cornflakes,117,30,z07,0.7311252314679081
meal_type=Cornflakes,117,30,z08,0.661807178664725
meal_type=Cornflakes,117,30,z09,0.7779722501423969
meal_type=Cornflakes,117,30,||z_res||16,0.7320420400090921
meal_type=PB_sandwich,111,30,z00,0.5463401225591994
meal_type=PB_sandwich,111,30,z01,0.6552546798312215
meal_type=PB_sandwich,111,30,z02,0.43724440208093607
meal_type=PB_sandwich,111,30,z03,0.5091870707855095
meal_type=PB_sandwich,111,30,z04,0.31383743916443724
meal_type=PB_sandwich,111,30,z05,0.6262273796115498
meal_type=PB_sandwich,111,30,z06,0.3804399412252837
meal_type=PB_sandwich,111,30,z07,0.5155714282659878
meal_type=PB_sandwich,111,30,z08,0.46424943466252744
meal_type=PB_sandwich,111,30,z09,0.6742648975869086
meal_type=PB_sandwich,111,30,||z_res||16,0.6713941945182468
meal_type=Protein_bar,117,30,z00,0.44042270023455365
meal_type=Protein_bar,117,30,z01,0.6471264244952231
meal_type=Protein_bar,117,30,z02,0.36832657878578284
meal_type=Protein_bar,117,30,z03,0.43554277189834234
meal_type=Protein_bar,117,30,z04,0.6359354274258221
meal_type=Protein_bar,117,30,z05,0.6541730231510857
meal_type=Protein_bar,117,30,z06,0.5583494586707259
meal_type=Protein_bar,117,30,z07,0.595335708636412
meal_type=Protein_bar,117,30,z08,0.4483192750821046
meal_type=Protein_bar,117,30,z09,0.6464334040650119
meal_type=Protein_bar,117,30,||z_res||16,0.42902329579243675
uncertainty=low_unc,115,24,z00,0.2241712097126773
uncertainty=low_unc,115,24,z01,0.3631904799927325
uncertainty=low_unc,115,24,z02,0.23288123191563886
uncertainty=low_unc,115,24,z03,0.35409668652375964
uncertainty=low_unc,115,24,z04,0.34011424385413325
uncertainty=low_unc,115,24,z05,0.31159348769779477
uncertainty=low_unc,115,24,z06,0.5407450155626474
uncertainty=low_unc,115,24,z07,0.296733688169633
uncertainty=low_unc,115,24,z08,0.453734042581292
uncertainty=low_unc,115,24,z09,0.26724958189473813
uncertainty=low_unc,115,24,||z_res||16,0.30150826043837575
uncertainty=high_unc,115,24,z00,0.06520516390754925
uncertainty=high_unc,115,24,z01,0.34428254522428814
uncertainty=high_unc,115,24,z02,-0.023201961019011782
uncertainty=high_unc,115,24,z03,0.08959704517568419
uncertainty=high_unc,115,24,z04,0.07070417637521241
uncertainty=high_unc,115,24,z05,0.3766368881164539
uncertainty=high_unc,115,24,z06,0.25718620884780435
uncertainty=high_unc,115,24,z07,0.2672213464344945
uncertainty=high_unc,115,24,z08,0.27235759077384086
uncertainty=high_unc,115,24,z09,0.2194115909388869
uncertainty=high_unc,115,24,||z_res||16,0.22708635808364713
uncertainty=mid_unc,115,27,z00,0.11797501474062491
uncertainty=mid_unc,115,27,z01,0.4884254921390998
uncertainty=mid_unc,115,27,z02,0.05596237423699238
uncertainty=mid_unc,115,27,z03,0.181112307486394
uncertainty=mid_unc,115,27,z04,0.19314229996489465
uncertainty=mid_unc,115,27,z05,0.4059569845760861
uncertainty=mid_unc,115,27,z06,0.3432648923383067
uncertainty=mid_unc,115,27,z07,0.15566603922482572
uncertainty=mid_unc,115,27,z08,0.1903108985387922
uncertainty=mid_unc,115,27,z09,0.33550500346423534
uncertainty=mid_unc,115,27,||z_res||16,0.07884154330924643
