gold	param	spearman_r	p_value	n
sspg	si	-0.8214285714285715	0.023448808345691505	7
sspg	mi	-0.8468812149338255	0.016197127467871626	7
sspg	tau_m	0.7142857142857144	0.0713435614675376	7
sspg	sg	-0.7857142857142859	0.03623846267982714	7
di	si	0.25	0.5887244480896833	7
di	mi	0.2882999880625789	0.5306506599466652	7
di	tau_m	-0.10714285714285716	0.8191508555699912	7
di	sg	0.7142857142857144	0.0713435614675376	7
homa_ir	si	-0.5	0.2531699951003227	7
homa_ir	mi	-0.5405624776173354	0.21028925349550293	7
homa_ir	tau_m	0.4642857142857144	0.2939341076002517	7
homa_ir	sg	-0.5357142857142858	0.21521745567801273	7
homa_b	si	0.14285714285714288	0.7599453002180929	7
homa_b	mi	0.09009374626955591	0.8476720796198265	7
homa_b	tau_m	-0.07142857142857144	0.8790481931481541	7
homa_b	sg	0.39285714285714296	0.38331687042697266	7
