gold	param	spearman_r	p_value	n
sspg	si	-0.21428571428571433	0.6445115810207203	7
sspg	mi	0.42857142857142866	0.337368311085824	7
sspg	tau_m	-0.6785714285714287	0.0937502539598313	7
sspg	sg	0.42857142857142866	0.337368311085824	7
di	si	-0.03571428571428572	0.9394082054712856	7
di	mi	-0.03571428571428572	0.9394082054712856	7
di	tau_m	0.7142857142857144	0.0713435614675376	7
di	sg	-0.5	0.2531699951003227	7
homa_ir	si	0.21428571428571433	0.6445115810207203	7
homa_ir	mi	-0.10714285714285716	0.8191508555699912	7
homa_ir	tau_m	-0.7857142857142859	0.03623846267982714	7
homa_ir	sg	0.642857142857143	0.11939237342741094	7
homa_b	si	0.4642857142857144	0.2939341076002517	7
homa_b	mi	-0.28571428571428575	0.5345092286010406	7
homa_b	tau_m	0.1785714285714286	0.7016579425162729	7
homa_b	sg	-0.07142857142857144	0.8790481931481541	7
