gold	param	spearman_r	p_value	n
sspg	si	-0.7857142857142859	0.03623846267982714	7
sspg	mi	-0.7500000000000002	0.05218140045705776	7
sspg	tau_m	-0.3214285714285715	0.4820720382996776	7
sspg	sg	0.7857142857142859	0.03623846267982714	7
di	si	0.5714285714285715	0.1802019889115274	7
di	mi	0.28571428571428575	0.5345092286010406	7
di	tau_m	-0.28571428571428575	0.5345092286010406	7
di	sg	-0.5714285714285715	0.1802019889115274	7
homa_ir	si	-0.5714285714285715	0.1802019889115274	7
homa_ir	mi	-0.6071428571428572	0.1482311614811614	7
homa_ir	tau_m	0.07142857142857144	0.8790481931481541	7
homa_ir	sg	0.5714285714285715	0.1802019889115274	7
homa_b	si	0.42857142857142866	0.337368311085824	7
homa_b	mi	0.14285714285714288	0.7599453002180929	7
homa_b	tau_m	-0.25	0.5887244480896833	7
homa_b	sg	-0.42857142857142866	0.337368311085824	7
