feature,importance
Gb,0.16661125378156777
z_init_3,0.026718350239759724
z_init_0,0.01749510697642245
z_nonseq_10,0.016970609933751542
z_nonseq_4,0.016918187049178877
z_nonseq_8,0.016289986800346438
z_nonseq_6,0.016091378852840805
z_nonseq_5,0.01190638276058905
z_nonseq_14,0.009314728365188969
z_nonseq_11,0.004095038659167118
z_nonseq_13,0.0031418018171804163
z_nonseq_7,0.0029443886998661334
z_nonseq_0,0.00244582417529627
z_nonseq_15,0.0017954783740734865
tau_m,0.0011833313578675727
z_nonseq_9,0.00036274491525499497
z_nonseq_1,0.00026606035344050336
z_nonseq_2,0.0002152431130294317
z_nonseq_3,0.0001871596037303243
p2,5.383236203560806e-05
z_init_2,3.73724508308104e-05
si,3.5916652162919974e-05
z_nonseq_12,3.130818743463915e-05
sg,9.906803378397993e-06
z_init_1,0.0
mi,0.0
