feature,importance
z_init_0,20.35229977679395
z_nonseq_3,2.5897394539877587
z_nonseq_6,2.3977449831792597
z_nonseq_2,1.9888869310752473
z_nonseq_13,1.1811614080853565
Gb,1.1169699512549265
z_nonseq_1,0.9792963454672029
z_nonseq_7,0.6470167342317427
z_nonseq_8,0.34468114346308737
tau_m,0.28124938517740644
z_nonseq_9,0.25913034631346515
z_init_3,0.17278659423258147
z_nonseq_4,0.172691708098725
z_nonseq_0,0.13386219848446787
z_nonseq_12,0.10103415099596834
z_nonseq_14,0.09376130186603825
mi,0.0761849330926734
z_nonseq_11,0.07560568840407128
z_nonseq_10,0.07276931822752601
z_init_1,0.059427744442585945
z_nonseq_5,0.053468382305760453
sg,0.035372396012124815
z_nonseq_15,0.03467802144090012
z_init_2,0.025490768126683497
p2,0.007760961298196131
si,0.0031594104737689356
