gold	param	spearman_r	p_value	n
sspg	si	-0.5357142857142858	0.21521745567801273	7
sspg	mi	-0.8571428571428573	0.013697326615325611	7
sspg	tau_m	-0.3571428571428572	0.4316113520383278	7
sspg	sg	-0.14285714285714288	0.7599453002180929	7
di	si	0.07142857142857144	0.8790481931481541	7
di	mi	0.42857142857142866	0.337368311085824	7
di	tau_m	-0.3571428571428572	0.4316113520383278	7
di	sg	-0.42857142857142866	0.337368311085824	7
homa_ir	si	-0.10714285714285716	0.8191508555699912	7
homa_ir	mi	-0.642857142857143	0.11939237342741094	7
homa_ir	tau_m	-0.07142857142857144	0.8790481931481541	7
homa_ir	sg	0.14285714285714288	0.7599453002180929	7
homa_b	si	0.3571428571428572	0.4316113520383278	7
homa_b	mi	0.21428571428571433	0.6445115810207203	7
homa_b	tau_m	-0.3571428571428572	0.4316113520383278	7
homa_b	sg	-0.28571428571428575	0.5345092286010406	7
