seed,pair,r,p,n
21,si-SSPG,-0.1498763624195715,0.19029295893704185,78
21,mi-SSPG,-0.37594946778922306,0.0006937551296806936,78
21,si-DI,0.10868946679782501,0.34352086130624615,78
21,mi-DI,-0.01756482482631518,0.8786857155594725,78
22,si-SSPG,-0.1498763624195715,0.19029295893704185,78
22,mi-SSPG,-0.37594946778922306,0.0006937551296806936,78
22,si-DI,0.10868946679782501,0.34352086130624615,78
22,mi-DI,-0.01756482482631518,0.8786857155594725,78
23,si-SSPG,-0.1498763624195715,0.19029295893704185,78
23,mi-SSPG,-0.37594946778922306,0.0006937551296806936,78
23,si-DI,0.10868946679782501,0.34352086130624615,78
23,mi-DI,-0.01756482482631518,0.8786857155594725,78
