target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,66.46819874939324,56.21293371622117,0.23194235980999311,0.4816039449693006,0.39901531149236596,0.00018658231761877134,83.0,,,,,,,
sspg,direct_si,full_sample,70.227653563705,56.91394626261726,0.1426023078853348,0.3776272075544012,0.36503355550560523,0.0006911468201365529,83.0,,,,,,,
di,direct_mi,full_sample,1.1713458667174432,0.8873774286304369,0.0820550734917499,0.2864525676124106,0.18566633606991217,0.08889790256394972,85.0,,,,,,,
di,direct_si,full_sample,1.2016615207778947,0.9383319305195263,0.03392546157720322,0.18418865756933972,0.24682551703204997,0.022769382065330336,85.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2946103116115137,0.9618741130078391,0.04955852800303362,0.2226174476608431,0.40779775798902396,3.383326625129263e-05,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2424762525969548,0.8939185828405131,0.12456592238569064,0.3529389782748367,0.44325585983403243,5.445148746012578e-06,97.0,,,,,,,
homa_b,direct_mi,full_sample,50.29762949490146,35.73771282319849,0.04205074216527882,0.20506277615715385,0.18422878034751827,0.07085327409431072,97.0,,,,,,,
homa_b,direct_si,full_sample,50.92841830820515,35.87818650712,0.01787255506054808,0.13368827570339883,0.1827691518950861,0.07315579879005576,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,67.25463083529795,7.911161886194267,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,73.81511601179581,6.528411741977248,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,67.8806684842887,6.846442246778455,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,0.08462011570045636,0.21995865643530915,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1409961858865883,0.42492358925501456,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,0.03726082633371506,0.3380874124491076,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.2741681043614559,0.3558274686952333,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.35695607035929744,0.26937645751975686,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.4046510723336561,0.2746118009870998,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.2558226089518848,0.3711177179513631,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.33553602207047273,0.26457673740953136,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3843195931673587,0.3344466269500338,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,rmse,1.1467490504405842,0.289050209507956,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,rmse,1.1915441324736407,0.2687869029877656,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,rmse,0.9903359710556907,0.27059272892556563,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,r2,0.03413631976237656,0.05793232606483568,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,r2,-0.05391729517385524,0.05037471078274004,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,r2,0.2635626610499583,0.22002152216323778,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.2751168873050468,0.128337721780241,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.21601030533502605,0.0515741527367576,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,pearson_r,0.560124110992753,0.1552738142016149,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.211764705882353,0.07183672588910735,,,,
di,single_si,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.26029411764705884,0.1214697573916418,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,85.0,spearman_r,0.6289215686274512,0.14261757663124006,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2937684998513495,0.2635108996695648,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2488013083212643,0.21487291572377276,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2120994708869846,0.272398539933891,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.007891489808501118,0.11645879766176485,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.04944469894192418,0.10396943113736608,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.10962779187054798,0.1798294696627329,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.22662005312136504,0.18685781091560563,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.3653221060417695,0.04007419379130435,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4064466892192171,0.16000140814346014,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.35438022860623786,0.163042645139839,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.4174623578937663,0.07495716330580597,,,,
