gold	param	spearman_r	p_value	n
sspg	si	0.2553203283456271	0.47649345335133597	10
sspg	mi	0.3100318272768329	0.3833197978009887	10
sspg	tau_m	0.2735574946560291	0.44439914146883686	10
sspg	sg	0.10942299786241164	0.7634826463741492	10
di	si	0.3939393939393939	0.25999776683488757	10
di	mi	0.06666666666666665	0.8548130882487426	10
di	tau_m	0.09090909090909088	0.8027717312071619	10
di	sg	-0.2121212121212121	0.5563057751029299	10
homa_ir	si	0.6923076923076924	0.0125930304960941	12
homa_ir	mi	0.6293706293706295	0.028319671295760022	12
homa_ir	tau_m	0.7552447552447553	0.004508435484294224	12
homa_ir	sg	-0.4825174825174825	0.11210929146889191	12
homa_b	si	0.3356643356643357	0.28612290291498754	12
homa_b	mi	0.46153846153846156	0.13094806950717278	12
homa_b	tau_m	0.3916083916083916	0.2080634636953532	12
homa_b	sg	0.02097902097902098	0.9484022252365223	12
