gold	param	spearman_r	p_value	n
sspg	si	-0.8389096502784891	0.0024139883688156136	10
sspg	mi	-0.498482545817653	0.14251791767625296	10
sspg	tau_m	-0.8024353176576852	0.005211461766706417	10
sspg	sg	-0.7112494861056756	0.021090925985548795	10
di	si	0.2142857142857143	0.6103444156452669	8
di	mi	0.38095238095238104	0.35181255311756476	8
di	tau_m	0.0	1.0	8
di	sg	0.07142857142857144	0.8665262706759088	8
homa_ir	si	-0.26666666666666666	0.4879222748387009	9
homa_ir	mi	-0.5166666666666667	0.1543901209862251	9
homa_ir	tau_m	-0.5	0.1704706607870538	9
homa_ir	sg	-0.38333333333333336	0.30849527238037144	9
homa_b	si	0.33333333333333337	0.38071318167686347	9
homa_b	mi	0.6833333333333333	0.04244227208707231	9
homa_b	tau_m	0.38333333333333336	0.30849527238037144	9
homa_b	sg	0.48333333333333334	0.18746985521554207	9
