target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,75.325242957901,63.582597895751576,0.013613598628165025,0.11667732696700327,0.13905540308947564,0.20993521585104638,83.0,,,,,,,
sspg,direct_si,full_sample,70.77504529853553,57.70251403889528,0.12918418839531254,0.3594220199087872,0.3780509720714326,0.00042555665332506115,83.0,,,,,,,
di,direct_mi,full_sample,1.2202335228686911,0.9559928727539757,0.0038328160578227077,0.06190974121909306,0.060993067193747266,0.5792237491160369,85.0,,,,,,,
di,direct_si,full_sample,1.2076614678672357,0.9523286444065203,0.02425407435109206,0.15573719642745762,0.2342985846157757,0.030905964426171183,85.0,,,,,,,
homa_ir,direct_mi,full_sample,1.3101960841314506,1.0168080663982633,0.026536104566775687,0.1628990625104094,0.19959236004244812,0.04999078137527693,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2017393712532503,0.8494642476766305,0.1810303003893472,0.4254765568034774,0.5101153884195863,9.435811890563193e-08,97.0,,,,,,,
homa_b,direct_mi,full_sample,50.92915049933314,35.92324365675982,0.017844315025029034,0.13358261498050236,0.09945855675649211,0.3324152346210739,97.0,,,,,,,
homa_b,direct_si,full_sample,51.09837765878152,36.28245302169716,0.01130646580852912,0.10633186638317337,0.07514456568850057,0.4644560488994455,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,77.92627424340849,11.70894349354354,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.0944402328375,6.790760921235725,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,77.58934388482557,8.44375433688493,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.21368531360520002,0.2815693091339844,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.19179548699103605,0.4741781174803025,,,,
