gold	param	spearman_r	p_value	n
sspg	si	0.028571428571428574	0.9571545189504373	6
sspg	mi	-0.08571428571428573	0.8717434402332361	6
sspg	tau_m	-0.6	0.20799999999999982	6
sspg	sg	-0.2571428571428572	0.6227871720116618	6
di	si	0.14285714285714288	0.7871720116618075	6
di	mi	-0.028571428571428574	0.9571545189504373	6
di	tau_m	-0.2571428571428572	0.6227871720116618	6
di	sg	-0.08571428571428573	0.8717434402332361	6
homa_ir	si	-0.2142857142857143	0.6103444156452669	8
homa_ir	mi	-0.28571428571428575	0.4927262450169573	8
homa_ir	tau_m	-0.38095238095238104	0.35181255311756476	8
homa_ir	sg	-0.261904761904762	0.530922861565801	8
homa_b	si	-0.6666666666666669	0.07098765432098751	8
homa_b	mi	-0.6904761904761906	0.057990318164572716	8
homa_b	tau_m	-0.30952380952380953	0.4556448907375822	8
homa_b	sg	-0.30952380952380953	0.4556448907375822	8
