target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,71.90720836034417,59.090388686679766,0.1011010955488929,0.31796398467262443,0.38251258662020415,0.00035870167942999464,83.0,,,,,,,
sspg,direct_si,full_sample,72.97679281605404,60.977001535210825,0.07416085260367422,0.2723249026506285,0.33655270780956514,0.001865008508596447,83.0,,,,,,,
di,direct_mi,full_sample,1.0633671640349962,0.8071274341001471,0.10464795397067073,0.3234933600101548,0.35069065251484277,0.004834311039425368,63.0,,,,,,,
di,direct_si,full_sample,1.0740527201121814,0.8178918885412932,0.08656312889449413,0.29421612616320447,0.32119241064633675,0.010266072814918238,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2297488625227384,0.8810466349932353,0.14240919962385923,0.3773714345626263,0.46883855486072035,1.2757611039903513e-06,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2667492785052539,0.9619890215425516,0.09002683391943522,0.30004471986593945,0.45748380947108014,2.464881081847609e-06,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.38967663013658,36.46548314752953,1.749461289834997e-06,0.0013226720266093076,-0.02429426635917487,0.8132745285376274,97.0,,,,,,,
homa_b,direct_si,full_sample,51.17987912647704,36.57897510431255,0.0081500354085291,0.09027754653583109,0.042881516967398794,0.676641178760327,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,76.46745126686977,9.189398696616204,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,76.91472135554088,10.98649463948044,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,77.42973004495792,8.22590549654414,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2553928306597152,0.5933695776110746,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.17511380727568435,0.21613484571521394,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2495580739459154,0.45335115511243484,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.37534387967187993,0.3154112345637229,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.35394375602801975,0.2797084933594582,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3518126757943761,0.33791433926178854,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.39051571571216426,0.28707951390500647,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3599712298349974,0.2448798591390742,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3566439936176339,0.3255107500223346,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0632259734267788,0.29187351800047473,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0995632019690933,0.27797150864278153,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.175507984512987,0.24904060715682785,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.29212861385112926,0.42340472874698587,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.5268349630083505,0.8978330025622568,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.9039229548331111,1.3564794922038452,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.26124619064084054,0.18564484404833279,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.2898574174787002,0.1955124754339367,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.15931318267598618,0.18883966565351865,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.20699300699300696,0.2417666216627106,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.1738261738261738,0.26133243660234096,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.1150849150849151,0.19777156949118924,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2377458463159934,0.21842479091014125,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2964847105039052,0.19283801883333676,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.237753034104363,0.2053456277885583,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.054173945544115365,0.1914502500879947,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.04223558945579107,0.192435492049938,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.044147811151193796,0.23308915105597863,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.37474886761249804,0.14025051155162196,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.35924223912775977,0.07273320591036131,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.4216880131508467,0.12056654689293501,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.43271246472824954,0.19704386291501125,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.43180959310984984,0.18152970289662973,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.44481210707501395,0.18398613381403348,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,51.67571799492059,6.93040788376952,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,51.03071037281414,6.938254917126887,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,51.632369440718904,8.350311374423944,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.04947805379468959,0.031202906458302725,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.022773069101679377,0.01895609602139079,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.04298761292348543,0.10252415986252082,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,-0.16752210273924245,0.04574830059964356,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.1191107489837957,0.07392246521413418,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.11413467363202527,0.21137403102993865,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,-0.10977443609022557,0.10550503300433728,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.05518796992481202,0.17153761060496683,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.23814536340852127,0.24377545187990707,,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,rmse,76.63849648076112,9.233410870931952,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,mae,65.01337241259563,7.131397712903347,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,r2,-0.18949727431826363,0.2979731369010256,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,pearson_r,0.39739299251655036,0.30890954942760507,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,spearman_r,0.40988809779632973,0.3068430751581424,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,rmse,1.0849018127975927,0.3034349368681136,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,mae,0.8627330267893603,0.15494955779744024,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,r2,-0.35036160848903675,0.46333212050255257,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.23224945953409137,0.21092119732600237,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.20799200799200798,0.2676037459725071,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,rmse,1.2448783063021998,0.2072086145874853,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,mae,0.8980684189827981,0.08780219147711067,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.033778342838474494,0.23444855469070847,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.4096144844048443,0.11645725671221466,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.46970448394678066,0.1919678965534358,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,rmse,50.86356281522628,7.502392728242289,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,mae,35.84768703110164,4.7800962141087995,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,r2,-0.015455354817758171,0.09231302806093185,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.21410290923091518,0.13026798065272924,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.3386466165413533,0.13835598016122783,5.0,,,
sspg,ridge_6d,leave_one_dataset_out,211.0162834864699,175.93950355929903,-6.833558076488273,-0.24806290615773044,-0.24546288221794496,0.17569600066582947,32.0,,,,,D1,0.17101994009758997,
sspg,ridge_6d,leave_one_dataset_out,72.07121528434085,61.65736958184306,0.019404900553999904,0.152582351432211,0.3355176950209577,0.06500636471444372,31.0,,,,,D2,0.41253213873622785,
sspg,ridge_6d,leave_one_dataset_out,99.79566697559407,74.98375352639623,-0.5631307813324873,0.4084148787121274,0.4300751879699248,0.05839600708511875,20.0,,,,,D4,0.07381094207458692,
di,ridge_6d,leave_one_dataset_out,0.9492248679012522,0.8066253312539314,0.024100760210021166,0.4079506862076648,0.5411053088439484,0.0013845373447820475,32.0,,,,,D1,0.020462053492068304,
di,ridge_6d,leave_one_dataset_out,1.2317582580866366,0.8748670374898906,0.04057269927792784,0.20793117769476632,0.3725806451612904,0.039000678601976355,31.0,,,,,D2,0.261667312162395,
homa_ir,ridge_6d,leave_one_dataset_out,6.7477842681622064,5.426065814737612,-31.128011266500565,-0.31520189129114773,-0.3590871612551812,0.04355293904225505,32.0,,,,,D1,0.07888093240414573,
homa_ir,ridge_6d,leave_one_dataset_out,1.4143632002395012,1.0188992348244021,0.03650377717677733,0.32357387856202197,0.510194404931247,0.001255445938730556,37.0,,,,,D2,0.050750493583109006,
homa_ir,ridge_6d,leave_one_dataset_out,2.0514004961748165,1.317808745155089,-1.7980736099689811,0.2671016700397266,0.412481186290553,0.029160909310389126,28.0,,,,,D4,0.1694274092225812,
homa_b,ridge_6d,leave_one_dataset_out,188.4115309603082,159.69265247042102,-10.435375692354567,0.2755020579624414,0.37719941348973607,0.03332122848011013,32.0,,,,,D1,0.1269654803932839,
homa_b,ridge_6d,leave_one_dataset_out,51.946002318560375,35.05567614355308,-0.17639008074070262,-0.12798177251269652,-0.14129919393077284,0.40417575821176066,37.0,,,,,D2,0.4503236030318661,
homa_b,ridge_6d,leave_one_dataset_out,90.44634292434704,71.07503886071093,-2.947158302005495,-0.11120338266749327,-0.1793046878023857,0.3612617941755092,28.0,,,,,D4,0.5731917059145686,
sspg,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_sspg.csv
di,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_di.csv
homa_ir,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_ir.csv
homa_b,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_b.csv
