gold	param	spearman_r	p_value	n
sspg	si	0.09726488698881033	0.7892345325825416	10
sspg	mi	-0.4559291577600484	0.18539676445371583	10
sspg	tau_m	-0.38298049251844074	0.27467301434339914	10
sspg	sg	nan	nan	10
di	si	0.8285714285714287	0.04156268221574334	6
di	mi	0.08571428571428573	0.8717434402332361	6
di	tau_m	-0.08571428571428573	0.8717434402332361	6
di	sg	nan	nan	6
homa_ir	si	0.03333333333333333	0.932156735540504	9
homa_ir	mi	-0.5333333333333333	0.13922686754397814	9
homa_ir	tau_m	-0.5	0.1704706607870538	9
homa_ir	sg	nan	nan	9
homa_b	si	0.11666666666666665	0.7650079429261462	9
homa_b	mi	0.4666666666666666	0.20538635110581185	9
homa_b	tau_m	0.3	0.4328453267094823	9
homa_b	sg	nan	nan	9
