gold	param	spearman_r	p_value	n
sspg	si	0.2006088294144213	0.5784061446498445	10
sspg	mi	-0.6018264882432639	0.06564599213625309	10
sspg	tau_m	-0.42553388057604524	0.22017919518735943	10
sspg	sg	0.41337576970244394	0.23506197663269415	10
di	si	0.7142857142857143	0.1107871720116617	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.7714285714285715	0.07239650145772594	6
di	sg	0.3142857142857143	0.5440932944606414	6
homa_ir	si	0.4666666666666666	0.20538635110581185	9
homa_ir	mi	-0.8166666666666667	0.007224785246358786	9
homa_ir	tau_m	-0.39999999999999997	0.2861051019083128	9
homa_ir	sg	0.5833333333333334	0.09918581647988323	9
homa_b	si	0.15	0.7000942309691419	9
homa_b	mi	0.26666666666666666	0.4879222748387009	9
homa_b	tau_m	0.6	0.0876228290414024	9
homa_b	sg	-0.09999999999999999	0.797971695234851	9
