gold	param	spearman_r	p_value	n
sspg	si	-0.6139845991168652	0.05898096236903695	10
sspg	mi	-0.7112494861056756	0.021090925985548795	10
sspg	tau_m	-0.6322217654272672	0.049846099509679546	10
sspg	sg	-0.7294866524160775	0.016646879953377023	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.6	0.20799999999999982	6
di	sg	0.48571428571428577	0.3287230320699709	6
homa_ir	si	-0.21666666666666667	0.5755148957119259	9
homa_ir	mi	-0.38333333333333336	0.30849527238037144	9
homa_ir	tau_m	-0.7333333333333334	0.02455415007146968	9
homa_ir	sg	-0.45	0.22421610749233667	9
homa_b	si	0.7	0.03576957497026169	9
homa_b	mi	0.6666666666666667	0.0498672305688851	9
homa_b	tau_m	0.48333333333333334	0.18746985521554207	9
homa_b	sg	0.6333333333333333	0.06708578689234565	9
