gold	param	spearman_r	p_value	n
sspg	si	-0.32826899358723494	0.3544183270183252	10
sspg	mi	0.36474332620803873	0.3000669694646655	10
sspg	tau_m	0.2006088294144213	0.5784061446498445	10
sspg	sg	-0.05471149893120582	0.8806762012346143	10
di	si	-0.08571428571428573	0.8717434402332361	6
di	mi	-0.4285714285714286	0.3965014577259474	6
di	tau_m	0.2571428571428572	0.6227871720116618	6
di	sg	0.48571428571428577	0.3287230320699709	6
homa_ir	si	0.7	0.03576957497026169	9
homa_ir	mi	0.8833333333333333	0.0015905004234978701	9
homa_ir	tau_m	0.18333333333333335	0.6368198117628943	9
homa_ir	sg	-0.5333333333333333	0.13922686754397814	9
homa_b	si	0.3	0.4328453267094823	9
homa_b	mi	0.09999999999999999	0.797971695234851	9
homa_b	tau_m	-0.3	0.4328453267094823	9
homa_b	sg	0.3666666666666667	0.33173980143301496	9
