gold	param	spearman_r	p_value	n
sspg	si	0.3039527718400323	0.3932011151432977	10
sspg	mi	0.03647433262080388	0.9203184602756675	10
sspg	tau_m	0.36474332620803873	0.3000669694646655	10
sspg	sg	-0.05471149893120582	0.8806762012346143	10
di	si	-0.3714285714285715	0.46847813411078715	6
di	mi	0.6	0.20799999999999982	6
di	tau_m	-0.3714285714285715	0.46847813411078715	6
di	sg	-0.08571428571428573	0.8717434402332361	6
homa_ir	si	0.7	0.03576957497026169	9
homa_ir	mi	0.2833333333333333	0.46003032896571994	9
homa_ir	tau_m	0.38333333333333336	0.30849527238037144	9
homa_ir	sg	-0.35	0.35581957250178897	9
homa_b	si	-0.16666666666666669	0.668231040071504	9
homa_b	mi	0.31666666666666665	0.4063970144863861	9
homa_b	tau_m	-0.5666666666666667	0.11163298761149114	9
homa_b	sg	-0.3	0.4328453267094823	9
