gold	param	spearman_r	p_value	n
sspg	si	-0.41337576970244394	0.23506197663269415	10
sspg	mi	-0.7051704306688749	0.022737736615376838	10
sspg	tau_m	0.7051704306688749	0.022737736615376838	10
sspg	sg	0.5835893219328621	0.07653771742823341	10
di	si	0.7142857142857143	0.1107871720116617	6
di	mi	0.7714285714285715	0.07239650145772594	6
di	tau_m	-0.48571428571428577	0.3287230320699709	6
di	sg	-0.2571428571428572	0.6227871720116618	6
homa_ir	si	0.016666666666666666	0.9660548039946861	9
homa_ir	mi	-0.5166666666666667	0.1543901209862251	9
homa_ir	tau_m	0.5666666666666667	0.11163298761149114	9
homa_ir	sg	0.5666666666666667	0.11163298761149114	9
homa_b	si	0.26666666666666666	0.4879222748387009	9
homa_b	mi	0.3666666666666667	0.33173980143301496	9
homa_b	tau_m	-0.5	0.1704706607870538	9
homa_b	sg	-0.5	0.1704706607870538	9
