target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.44498105295662,56.67429819219059,0.13728746686780324,0.37052323391091585,0.40138784064065386,0.0001693667160462203,83.0,,,,,,,
sspg,direct_si,full_sample,73.4501017891388,61.14439635724587,0.06211239138639235,0.24922357710776946,0.24528382101657842,0.025416456633937247,83.0,,,,,,,
di,direct_mi,full_sample,1.0500218496903977,0.7997814259354122,0.12698036398547596,0.35634304256638033,0.35724315050516187,0.00404986966932681,63.0,,,,,,,
di,direct_si,full_sample,1.0829507761417374,0.8189410072456601,0.07136558786576519,0.2671433844693772,0.29649453360590333,0.01829705563160586,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2392886829265006,0.8941478364570112,0.12905200827908803,0.3592380941368594,0.45987047569947587,2.1504281759670846e-06,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.297985528817317,0.9908815239108975,0.04459621904098321,0.2111781689497704,0.2604490614474914,0.00998056440563086,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.32004580941068,36.151911987352314,0.002709823539910561,0.052055965459403095,0.02804196103433852,0.7851187481803056,97.0,,,,,,,
homa_b,direct_si,full_sample,50.053181513228466,34.477898840947,0.05133943952053632,0.22658208119914575,0.22344807637795885,0.027801489683225843,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,74.51606129947976,7.811879453406404,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.31408683915359,12.164340452293374,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,75.51705739766768,7.768147051897684,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.19638482549497357,0.5709497336495611,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.13114668752522624,0.26276389084701696,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2157435842130832,0.5371663774985083,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.38771821841304527,0.2910198643370004,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.2740185999693211,0.2502981921803176,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3643855293682988,0.2875500035555452,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3888901390521597,0.3321331938917881,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.20795515493634764,0.31742011467549586,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.38102586207456984,0.25213352164245545,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.052533221757724,0.287607497220058,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0803714232733828,0.31000565777585654,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1165986714301497,0.28430659251198,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.2954368954611962,0.4942542839706471,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.31107739981746957,0.3817612427500964,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.4391921070401305,0.4819496420169663,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.32931988868446443,0.2051003960178878,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.28022647491540165,0.18224173552033884,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.14956989906211174,0.08529449067552002,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.29270729270729273,0.23267996460412682,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.2742257742257742,0.19710140340593116,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.1063936063936064,0.15728254722910168,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2398818323027467,0.25982392167687296,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.3019229693639165,0.26635914394290283,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.241862985869438,0.2026571253457561,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.06878855027797041,0.15312327580947122,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.022812601425072954,0.1348085240359122,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.05150238430515286,0.14685485475749088,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.3802063782341057,0.1548160265802312,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.22951028347100663,0.1882034497821076,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.37293832100073415,0.06783238199401832,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.4189328159124572,0.1524776433604599,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.2271992192465726,0.16682209497932068,,,,
