gold	param	spearman_r	p_value	n
sspg	si	-0.6504589317376691	0.04170545108280406	10
sspg	mi	-0.6200636545536659	0.05582263340222192	10
sspg	tau_m	0.6565379871744699	0.039204386332556754	10
sspg	sg	0.43161293601284584	0.21294529187580233	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.7714285714285715	0.07239650145772594	6
di	tau_m	-0.48571428571428577	0.3287230320699709	6
di	sg	0.3714285714285715	0.46847813411078715	6
homa_ir	si	-0.016666666666666666	0.9660548039946861	9
homa_ir	mi	-0.75	0.019942126131992522	9
homa_ir	tau_m	0.43333333333333335	0.2439524358800516	9
homa_ir	sg	0.13333333333333333	0.7323675052362975	9
homa_b	si	0.41666666666666663	0.26458604674749614	9
homa_b	mi	0.41666666666666663	0.26458604674749614	9
homa_b	tau_m	-0.5833333333333334	0.09918581647988323	9
homa_b	sg	-0.43333333333333335	0.2439524358800516	9
