gold	param	spearman_r	p_value	n
sspg	si	-0.18845071854082002	0.6020947513149705	10
sspg	mi	-0.6747751534848716	0.0323118085420257	10
sspg	tau_m	0.6139845991168652	0.05898096236903695	10
sspg	sg	0.6443798763008685	0.04431151432143616	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.48571428571428577	0.3287230320699709	6
di	sg	-0.48571428571428577	0.3287230320699709	6
homa_ir	si	-0.5166666666666667	0.1543901209862251	9
homa_ir	mi	-0.41666666666666663	0.26458604674749614	9
homa_ir	tau_m	0.25	0.5164895523012263	9
homa_ir	sg	0.6833333333333333	0.04244227208707231	9
homa_b	si	0.016666666666666666	0.9660548039946861	9
homa_b	mi	0.5666666666666667	0.11163298761149114	9
homa_b	tau_m	-0.75	0.019942126131992522	9
homa_b	sg	-0.5166666666666667	0.1543901209862251	9
