target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.41586416601292,56.928336065874404,0.1380004860671562,0.3714841666439584,0.3954040281870074,0.00021590483808944157,83.0,,,,,,,
sspg,direct_si,full_sample,70.84894147139764,57.690909209630206,0.12736480278151008,0.3568820572423192,0.36216762427780613,0.000766956141540398,83.0,,,,,,,
di,direct_mi,full_sample,1.0506659991377272,0.7973604118528174,0.12590890512352526,0.3548364484146385,0.3240006240707592,0.009584653106175043,63.0,,,,,,,
di,direct_si,full_sample,1.0651621838328142,0.8062410961715226,0.10162259979238775,0.3187829979662912,0.31886423370472156,0.010862505991310552,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2318632724484342,0.8795745126885003,0.1394576093706179,0.3734402353397574,0.47937144548851635,6.777986224159775e-07,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2503171306679126,0.9053326423808177,0.11348187846038416,0.33687071475623875,0.45728656432823755,2.4927253670471756e-06,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.36025261313661,36.28956070657295,0.0011465530040029037,0.03386078859097962,-0.01623343535610359,0.8745997894243006,97.0,,,,,,,
homa_b,direct_si,full_sample,51.36143696952686,36.548741427261156,0.0011004857811005575,0.0331735705208303,0.11145117971701578,0.2771132109316415,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,74.94148802010537,7.740360749742582,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,74.61167447893132,9.175578302910614,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,76.43147655778505,9.300677952591464,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.21902941143888305,0.6036806644399318,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.14342567229502576,0.3545070885079577,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.2569110846190639,0.5915888782831762,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3949806423145913,0.30479804040386904,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.34492629113634055,0.3305814485087291,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.38445189424534426,0.30884363473880366,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3978331192631477,0.29050745654905313,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.34176518396566025,0.32195596410557836,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.38082829339677104,0.27207086549118364,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0500854308849514,0.29234232507730484,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0603730087050915,0.310916703150749,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.112635082859351,0.28879707690578554,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.27169948193467724,0.45235221746295534,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.29082679424413105,0.45403176227569,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.44689874980373023,0.5332565682092595,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3099556068544135,0.2089253522783802,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3146936950254169,0.17263531778638566,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.1867829830047327,0.16461061102854657,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.2315684315684316,0.22794602269416017,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.26213786213786217,0.18438495161326687,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.10319680319680317,0.21494768847310583,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2359345699645217,0.2301913911283456,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.252992578388915,0.24047689052797913,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2616928765692002,0.19777939015449517,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.06757835016302763,0.1447586290391826,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.048309748429925234,0.1193496342318265,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.003083031666236402,0.2862124341212184,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.37827819950047586,0.12084604505454272,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.35388178002569753,0.10510213206202716,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.39700893094588874,0.10490532564002444,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.44971699602514487,0.1968096455661946,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.42242645785188415,0.14752366907455405,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.40929100785965045,0.18245288891991832,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,51.32139002018084,7.026356288059612,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,51.29876604190092,7.139005839182511,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,49.56609056061801,6.868044036236364,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.03411494328147757,0.01472710539967787,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.03255138410242862,0.015888755303264047,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.02656736690945396,0.15416025467485414,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,-0.05201970291009592,0.09831092865013259,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.05585423781576533,0.08909983474029869,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.2942782270042715,0.16054097320301036,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,-0.10877192982456138,0.044618005218278814,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.12325814536340851,0.04910091067407698,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.3381954887218045,0.1622110900522645,,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,rmse,76.1548763407666,8.110838317884596,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,mae,61.66821590742459,8.339884189501083,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,r2,-0.2558348598794929,0.6207657904035965,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,pearson_r,0.39933801670443564,0.30654461320113446,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,spearman_r,0.413557950742139,0.2617263222202018,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,rmse,1.0732736268132106,0.31676778869070443,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,mae,0.8742569716124109,0.21375877643400237,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,r2,-0.30024727133051365,0.4419024616405143,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.2549052016488042,0.1739001360795006,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.23516483516483513,0.26093083779207876,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,rmse,1.228148718590463,0.20750656035530798,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,mae,0.8994272693931933,0.0714135340244261,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.07509998735758142,0.13887237006915637,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.3812457989012708,0.13735746190494758,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.473956511865626,0.1776445811994315,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,rmse,48.993106104125836,6.812514036615294,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,mae,34.665324097946176,4.573842563214683,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.053776147063421355,0.10630568238404804,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.2456382395881406,0.251060802112162,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.2943859649122807,0.2761610726266626,5.0,,,
