gold	param	spearman_r	p_value	n
sspg	si	0.1702135522304181	0.6382593583672791	10
sspg	mi	-0.6261427099904666	0.05277824501366533	10
sspg	tau_m	-0.56535215562246	0.0885368480246987	10
sspg	sg	-0.2492412729088265	0.4874104156153496	10
di	si	-0.942857142857143	0.004804664723032055	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.48571428571428577	0.3287230320699709	6
di	sg	-0.3714285714285715	0.46847813411078715	6
homa_ir	si	0.11666666666666665	0.7650079429261462	9
homa_ir	mi	-0.25	0.5164895523012263	9
homa_ir	tau_m	-0.13333333333333333	0.7323675052362975	9
homa_ir	sg	0.3	0.4328453267094823	9
homa_b	si	0.38333333333333336	0.30849527238037144	9
homa_b	mi	0.75	0.019942126131992522	9
homa_b	tau_m	0.6	0.0876228290414024	9
homa_b	sg	0.6166666666666666	0.07692880993776309	9
