target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,73.20150031459784,62.42990087481317,0.06845045372040648,0.2616303761423866,0.24735191058389136,0.02416703067659445,83.0,,,,,,,
sspg,direct_si,full_sample,72.10848770330004,58.41785860567179,0.09606173968585074,0.309938283672493,0.3958449406835919,0.00021211012512907185,83.0,,,,,,,
di,direct_mi,full_sample,1.1235282603872503,0.8616347863003015,0.00047113375055973794,0.021705615645437906,-0.0350906668932106,0.784830009608195,63.0,,,,,,,
di,direct_si,full_sample,1.0555346913792456,0.8066670934515785,0.11778921578946444,0.34320433533021355,0.35001860143891256,0.0049218889903709685,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.253370991558369,0.9295075804626581,0.10914600365633931,0.3303725225504301,0.40009204774197227,4.900601404290125e-05,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.254917450181485,0.9168790374570849,0.10694630577761266,0.3270264603630843,0.4712317959272108,1.1070361961773917e-06,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.175031203565894,36.66740445139237,0.008337928952463991,0.09131226069079647,-0.03307176178258447,0.7477674446474938,97.0,,,,,,,
homa_b,direct_si,full_sample,51.38504312558724,36.38660376556801,0.00018206923987107437,0.013493303519560134,-0.011992622960523672,0.9071876321909005,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,75.21633926768155,11.517959470602918,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.66978045050757,9.093087253273236,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,73.46424200221686,8.445936751757143,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.12419135789050792,0.2303201084089526,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.19541934569699043,0.45400632585611655,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1520293177216225,0.5060463748713944,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.2387535439889495,0.32271681764532867,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.3486734025770869,0.27115449939036124,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.39963860217274905,0.34691410755382096,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.2756669402317666,0.28963613050817094,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.3867352762225395,0.2692813843939871,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.4522049582595883,0.2996188583642642,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1146160598364214,0.3376388101366072,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.0580564832510684,0.2962934201356219,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,1.1026183209628286,0.3066761560057869,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.34475167737416257,0.28740157140690914,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.28645660162959813,0.47015226851058767,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-0.4201349957085327,0.5403226501020278,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,-0.1671584612669736,0.18653890659724026,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3034381458749073,0.2174338005888347,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.2040618391955041,0.20006098677418513,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,-0.17522477522477523,0.19311942543392074,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.23346653346653343,0.27336866027533974,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.17502497502497502,0.22753606945171137,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2646965451683632,0.21530048924603448,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.2600368133246502,0.22128956092021299,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.209355931745351,0.19056860734019568,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,0.02728070566450127,0.08160617776674789,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.0262538315698726,0.15804383942274794,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,0.07668962514316531,0.269448585173109,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.34885819111844707,0.06828287954448575,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.3177658417139707,0.13813720085493295,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.46691700050093354,0.11272413850162617,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.399520421640062,0.12721767829833824,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.4231741796908441,0.1463177462327922,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.5290477730448577,0.13848161218945929,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,51.47082844460336,7.083240756596155,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,51.37122334275161,6.9006638882005085,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,52.40953754702936,7.3137859665655816,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.04002972875719415,0.01995769385390415,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,-0.03687600518778602,0.01579114879328774,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.09708933433187313,0.23631925454367306,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,pearson_r,-0.08891268396856497,0.1259304084028202,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,pearson_r,-0.07925737852682506,0.07596878118865046,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,pearson_r,0.203732805338079,0.0663809986474849,,,,
homa_b,single_mi,5fold_single_vs_joint,,,,,,,97.0,spearman_r,-0.12075187969924812,0.11634477181628258,,,,
homa_b,single_si,5fold_single_vs_joint,,,,,,,97.0,spearman_r,-0.04095238095238095,0.0677698313819646,,,,
homa_b,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,spearman_r,0.2606516290726817,0.0695126234873228,,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,rmse,74.20084438031324,9.52949219218556,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,mae,60.97598672428377,8.22170648298387,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,r2,-0.17151564529633592,0.5104727625061661,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,pearson_r,0.3970955755722495,0.34958473591113665,5.0,,,
sspg,ridge_6d,5fold_subject,,,,,,,83.0,spearman_r,0.44410018550827973,0.3176251397145823,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,rmse,1.0794504183990592,0.2826526334581791,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,mae,0.8633481225630595,0.17451307931206536,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,r2,-0.3887425193584727,0.5744892286622691,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,pearson_r,0.23783512291759495,0.22245989922739404,5.0,,,
di,ridge_6d,5fold_subject,,,,,,,63.0,spearman_r,0.2623376623376623,0.2275950114173565,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,rmse,1.176816237378979,0.19506895874466312,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,mae,0.8124690439859981,0.04435845483730244,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,r2,0.14143810222960723,0.18189293921942515,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.5052436320599507,0.11159026269751372,5.0,,,
homa_ir,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.5628339281408203,0.12201161713554201,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,rmse,55.402146198486705,11.444024922521908,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,mae,38.25457525439926,5.60537250331604,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,r2,-0.2912479878726748,0.6529213847066115,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,pearson_r,0.23319928530138032,0.1240537530707494,5.0,,,
homa_b,ridge_6d,5fold_subject,,,,,,,97.0,spearman_r,0.3485714285714286,0.07733141900872002,5.0,,,
sspg,ridge_6d,leave_one_dataset_out,67.3061500022923,58.39872805818945,0.20303981329871112,0.5170386287122757,0.5209899262609407,0.0022330899462954987,32.0,,,,,D1,0.0024446489435945274,
sspg,ridge_6d,leave_one_dataset_out,78.54669041188684,55.948208982028255,-0.16472074055314345,0.2137504862788899,0.29962698004876387,0.10151172869060865,31.0,,,,,D2,0.24824993713823326,
sspg,ridge_6d,leave_one_dataset_out,72.56223997739669,51.54261936423179,0.17359429464358833,0.5386460564194662,0.5909774436090225,0.006070153699275827,20.0,,,,,D4,0.014270730041256334,
di,ridge_6d,leave_one_dataset_out,0.9041476601305563,0.7364243169260598,0.11458782332892481,0.43773877881719103,0.1669874445653242,0.3609913088026391,32.0,,,,,D1,0.01222501678045567,
di,ridge_6d,leave_one_dataset_out,1.7056239352087152,1.5544334209233714,-0.8396180868265062,0.4591204511348736,0.49233870967741944,0.004900174152318256,31.0,,,,,D2,0.009374625744585773,
homa_ir,ridge_6d,leave_one_dataset_out,1.0502484093433957,0.8051303756230004,0.22170268984905106,0.49042032501361726,0.5598020369950605,0.0008639121572668452,32.0,,,,,D1,0.004377752284331187,
homa_ir,ridge_6d,leave_one_dataset_out,1.3566103316327542,0.9063531602566851,0.11358241987174145,0.36110488956263526,0.47060218112849683,0.0032879771201177613,37.0,,,,,D2,0.02810530192480117,
homa_ir,ridge_6d,leave_one_dataset_out,1.1474216751926558,0.8684609080411986,0.1246044749596148,0.4703412100687978,0.6462296488599839,0.00020327397211056058,28.0,,,,,D4,0.01154437908558354,
homa_b,ridge_6d,leave_one_dataset_out,60.74111087490749,43.040019960097325,-0.18850480246329382,-0.4301461474962984,-0.2694281524926686,0.1359061100870353,32.0,,,,,D1,0.013998993106871263,
homa_b,ridge_6d,leave_one_dataset_out,49.99226730140609,30.361569982521168,-0.08956403743071828,0.03471120681190318,0.07491702228544332,0.6594433639085797,37.0,,,,,D2,0.8383890698224322,
homa_b,ridge_6d,leave_one_dataset_out,50.870142627065036,39.50709924620556,-0.24861466651912756,-0.21385738497145448,-0.35094444238573813,0.06708652899337221,28.0,,,,,D4,0.2745093880716092,
sspg,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_sspg.csv
di,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_di.csv
homa_ir,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_ir.csv
homa_b,ridge_6d_coef,full_sample,,,,,,,,,,,,,,joint_weights_homa_b.csv
