gold	param	spearman_r	p_value	n
sspg	si	0.38905954795524134	0.2664779212005221	10
sspg	mi	-0.08510677611520905	0.8151715445415288	10
sspg	tau_m	-0.46808726863364974	0.17245503609398916	10
sspg	sg	-0.41337576970244394	0.23506197663269415	10
di	si	-0.6	0.20799999999999982	6
di	mi	0.7142857142857143	0.1107871720116617	6
di	tau_m	0.4285714285714286	0.3965014577259474	6
di	sg	0.08571428571428573	0.8717434402332361	6
homa_ir	si	0.6	0.0876228290414024	9
homa_ir	mi	0.049999999999999996	0.8983528043506301	9
homa_ir	tau_m	-0.03333333333333333	0.932156735540504	9
homa_ir	sg	-0.43333333333333335	0.2439524358800516	9
homa_b	si	-0.35	0.35581957250178897	9
homa_b	mi	0.5499999999999999	0.12497678418833198	9
homa_b	tau_m	0.5666666666666667	0.11163298761149114	9
homa_b	sg	0.43333333333333335	0.2439524358800516	9
