target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,75.84264971592022,63.850654617635435,1.61430142356922e-05,0.004017837009585013,-0.02038695400873937,0.8548480790568824,83.0,,,,,,,
sspg,direct_si,full_sample,75.54778347262334,62.97419003703922,0.00777663906872661,0.08818525425901161,0.02126877900190832,0.8486425298417749,83.0,,,,,,,
di,direct_mi,full_sample,1.1219588659133388,0.857761545688251,0.003261556654412856,0.057110039873917114,0.03780287302107162,0.7686450860784053,63.0,,,,,,,
di,direct_si,full_sample,1.1136893623606243,0.8457604507167585,0.01790051743644072,0.13379281533934764,0.044043347297565975,0.7317871200096817,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.3037438082743438,0.9904155994423773,0.036100461560622965,0.19000121462932099,0.2568854992001347,0.01108500169895955,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.2768889467593292,0.9511496694720322,0.07540080783856051,0.2745920753382286,0.2499753443625482,0.013534212858843172,97.0,,,,,,,
homa_b,direct_mi,full_sample,49.61893098302129,35.327439869891414,0.06772878050006825,0.26024753697214553,0.29319464675363605,0.0035621669517881542,97.0,,,,,,,
homa_b,direct_si,full_sample,49.78898221453653,35.28796127501502,0.06132777487375651,0.24764445253983852,0.255296906213911,0.011610833099403079,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,77.87281519870973,14.456060705907863,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,78.03775851530331,13.089732698742383,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,76.8505458548891,6.95461077792614,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.16862937735233308,0.07570597060478934,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1847960385794186,0.11226368649953604,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.25658013394597756,0.5443156379322812,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,-0.2799639032545148,0.16242921064164162,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,-0.20005791113351848,0.26748488525592673,,,,
