gold	param	spearman_r	p_value	n
sspg	si	0.3404271044608362	0.3357822630985314	10
sspg	mi	-0.6261427099904666	0.05277824501366533	10
sspg	tau_m	-0.10942299786241164	0.7634826463741492	10
sspg	sg	-0.10334394242561099	0.7763340602409095	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.5428571428571429	0.26570262390670557	6
di	sg	-0.2571428571428572	0.6227871720116618	6
homa_ir	si	0.43333333333333335	0.2439524358800516	9
homa_ir	mi	-0.25	0.5164895523012263	9
homa_ir	tau_m	0.0	1.0	9
homa_ir	sg	0.3	0.4328453267094823	9
homa_b	si	0.15	0.7000942309691419	9
homa_b	mi	0.75	0.019942126131992522	9
homa_b	tau_m	-0.016666666666666666	0.9660548039946861	9
homa_b	sg	0.5	0.1704706607870538	9
