target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,70.6205683097629,56.4365351306245,0.13298140810195147,0.3646661597981794,0.38596640117678255,0.0003137237854300145,83.0,,,,,,,
sspg,direct_si,full_sample,74.17684417760145,61.89120882662149,0.0434609619608326,0.2084729286042498,0.20097211510983853,0.06848357192280752,83.0,,,,,,,
di,direct_mi,full_sample,1.058093458560095,0.8091671554973902,0.11350682106361909,0.3369077337545221,0.3146879163042984,0.012007865538213001,63.0,,,,,,,
di,direct_si,full_sample,1.105528601580002,0.8469109887825973,0.032240807831804275,0.17955725502410683,0.13357015134111971,0.296654079541685,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.224383252319677,0.8724172819041975,0.1498765118804396,0.38713887931908236,0.46926591933687944,1.2439479129753364e-06,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.283238691987827,0.9464184495917304,0.06618220355037596,0.2572590203479184,0.3142443867387689,0.0017206691303701545,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.38262561346958,36.38592143682788,0.00027614389498686887,0.01661757789170397,0.013208980004217137,0.8978225659596202,97.0,,,,,,,
homa_b,direct_si,full_sample,51.20605337693799,36.64893507176173,0.007135278505467135,0.08447057775028773,0.13994680905413726,0.17156679471422365,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,75.26351528968833,8.072428471050785,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,76.41661712517026,10.55449407604642,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,76.73705200855132,8.574832530070422,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.23644146511839104,0.6354779425994951,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1787663075435258,0.31076111965747716,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.24522974677161757,0.5170306212146947,,,,
