target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,73.2708593441154,60.4648275896205,0.06668431553729026,0.2582330643765248,0.30466003722328794,0.005104032787607342,83.0,,,,,,,
sspg,direct_si,full_sample,72.861439873807,61.08379051015268,0.0770854498255572,0.27764266571540724,0.18219134233865691,0.09925047932551495,83.0,,,,,,,
di,direct_mi,full_sample,1.1066940699284318,0.8476831723834589,0.030199273622270928,0.17377938204015622,0.11268856433900395,0.37922120553400473,63.0,,,,,,,
di,direct_si,full_sample,1.123230104989684,0.8626319900838263,0.001001561678841023,0.0316474592792006,0.06530896348592753,0.6110768838865266,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.2671365032830963,0.9286234144039643,0.08947042071427835,0.29911606562382,0.38254380486707373,0.000110209105674508,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.30085239056139,0.9925752735722978,0.04037115594688123,0.20092574734681376,0.2348334922303297,0.020594497211019126,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.36905077354439,36.32633667952406,0.0008043107012659645,0.02836037202270093,-0.022979285771398156,0.8232123161722293,97.0,,,,,,,
homa_b,direct_si,full_sample,51.38719119001914,36.492619440260796,9.847611258284594e-05,0.009923513116975657,-0.03267069270331257,0.7507257665104283,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,77.61972413033295,8.8899951248123,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,74.54111990532581,11.327399469131127,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,74.73250872194498,5.766585787432129,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.30448260310092495,0.6555773025441893,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.09278768609761039,0.15725981466879843,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.21584797112167559,0.6035903013987625,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.32607288183179994,0.17316034369291228,,,,
