gold	param	spearman_r	p_value	n
sspg	si	0.4863244349440517	0.15407996514663627	10
sspg	mi	-0.5835893219328621	0.07653771742823341	10
sspg	tau_m	-0.36474332620803873	0.3000669694646655	10
sspg	sg	0.09118583155200968	0.8021812915092663	10
di	si	-0.6	0.20799999999999982	6
di	mi	0.2571428571428572	0.6227871720116618	6
di	tau_m	0.2571428571428572	0.6227871720116618	6
di	sg	-0.48571428571428577	0.3287230320699709	6
homa_ir	si	0.26666666666666666	0.4879222748387009	9
homa_ir	mi	-0.26666666666666666	0.4879222748387009	9
homa_ir	tau_m	0.09999999999999999	0.797971695234851	9
homa_ir	sg	0.33333333333333337	0.38071318167686347	9
homa_b	si	-0.5499999999999999	0.12497678418833198	9
homa_b	mi	0.7166666666666667	0.029818035695845287	9
homa_b	tau_m	0.5333333333333333	0.13922686754397814	9
homa_b	sg	0.4666666666666666	0.20538635110581185	9
