gold	param	spearman_r	p_value	n
sspg	si	0.43161293601284584	0.21294529187580233	10
sspg	mi	-0.5227987675648555	0.12102739408380091	10
sspg	tau_m	-0.32218993815043423	0.36392707596751084	10
sspg	sg	0.6018264882432639	0.06564599213625309	10
di	si	-0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.08571428571428573	0.8717434402332361	6
di	sg	-0.5428571428571429	0.26570262390670557	6
homa_ir	si	0.6	0.0876228290414024	9
homa_ir	mi	-0.18333333333333335	0.6368198117628943	9
homa_ir	tau_m	0.19999999999999998	0.6059012741795533	9
homa_ir	sg	0.5333333333333333	0.13922686754397814	9
homa_b	si	-0.43333333333333335	0.2439524358800516	9
homa_b	mi	0.7999999999999999	0.00962792472537983	9
homa_b	tau_m	0.45	0.22421610749233667	9
homa_b	sg	-0.16666666666666669	0.668231040071504	9
