gold	param	spearman_r	p_value	n
sspg	si	-0.13981827504641486	0.7000568732769904	10
sspg	mi	-0.6139845991168652	0.05898096236903695	10
sspg	tau_m	-0.41945482513924454	0.2275515102242153	10
sspg	sg	-0.14589733048321551	0.6875567115411831	10
di	si	0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.08571428571428573	0.8717434402332361	6
di	sg	0.5428571428571429	0.26570262390670557	6
homa_ir	si	-0.3	0.4328453267094823	9
homa_ir	mi	-0.35	0.35581957250178897	9
homa_ir	tau_m	0.13333333333333333	0.7323675052362975	9
homa_ir	sg	0.03333333333333333	0.932156735540504	9
homa_b	si	-0.39999999999999997	0.2861051019083128	9
homa_b	mi	0.75	0.019942126131992522	9
homa_b	tau_m	0.3666666666666667	0.33173980143301496	9
homa_b	sg	0.5	0.1704706607870538	9
