target,method,validation,rmse,mae,r2,pearson_r,spearman_r,spearman_p,n,metric,mean,std,n_folds,test_dataset,pearson_p,coef_file
sspg,direct_mi,full_sample,73.40199729239873,62.685349438161374,0.06334048600453801,0.25167535835782173,-0.02431317481165828,0.8272915575195046,83.0,,,,,,,
sspg,direct_si,full_sample,72.90569626319515,60.37585594525876,0.07596394384216432,0.27561557256832264,0.26619567085458506,0.014997454131753504,83.0,,,,,,,
di,direct_mi,full_sample,1.1236910009760777,0.8611153808725207,0.00018155367904104658,0.013474185653635437,0.04397134182514489,0.7322091612571076,63.0,,,,,,,
di,direct_si,full_sample,1.046451424198253,0.8179294114074916,0.132907387419407,0.36456465464907073,0.3300970874024114,0.008239287929354957,63.0,,,,,,,
homa_ir,direct_mi,full_sample,1.327179435841106,1.019401287751284,0.0011355833250754621,0.03369841724873269,-0.1223314375909935,0.23259717113341763,97.0,,,,,,,
homa_ir,direct_si,full_sample,1.267573575490669,0.9341478252887406,0.08884217615267109,0.29806404706483103,0.3859627206763458,9.444715546554602e-05,97.0,,,,,,,
homa_b,direct_mi,full_sample,51.16640600981877,36.818999321949,0.00867217620139571,0.09312451987202724,0.19482752388499858,0.05583498779647661,97.0,,,,,,,
homa_b,direct_si,full_sample,50.59343493798569,36.453975514175895,0.03075001641171138,0.17535682596269633,0.19601100641399763,0.054333552291918955,97.0,,,,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,rmse,74.21554575856032,14.234273484992642,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,rmse,75.0219670409086,10.408599511446573,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,rmse,72.96690974940836,5.049903039976309,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,r2,-0.06337415060240977,0.11179484079395285,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1312495907790127,0.2774130837158841,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,r2,-0.1494285693311459,0.543113365872487,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.2053891384796191,0.22123123638925288,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.29432315552550586,0.1686972512993055,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,pearson_r,0.38431989099615815,0.16275764241458512,,,,
sspg,single_mi,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.013576547533338767,0.2197858651743352,,,,
sspg,single_si,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.2736645735391233,0.15089997332252814,,,,
sspg,ridge_6d,5fold_single_vs_joint,,,,,,,83.0,spearman_r,0.40051264046855295,0.26667288789612553,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,rmse,1.11559974865321,0.34421552130602306,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,rmse,1.048459040603199,0.28572730769072713,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,rmse,2.5725144114705443,3.069531442658708,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,r2,-0.3376342038407127,0.2510120261074257,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,r2,-0.26990794947991087,0.4659643720116132,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,r2,-11.697030365196623,22.65833668691945,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,pearson_r,-0.022897943920342258,0.12688490174783343,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.3186006126515654,0.17664566450137453,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,pearson_r,0.4002145612556559,0.09624139160153139,,,,
di,single_mi,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.04485514485514486,0.19643580976557234,,,,
di,single_si,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.21868131868131865,0.2192961702552338,,,,
di,ridge_6d,5fold_single_vs_joint,,,,,,,63.0,spearman_r,0.33946053946053945,0.0769999745379583,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,rmse,1.3485288102658235,0.23177060083561474,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,rmse,1.274990372990137,0.2181380629228011,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,rmse,1.5210217862401185,0.4328463727767405,,,,
homa_ir,single_mi,5fold_single_vs_joint,,,,,,,97.0,r2,-0.10536450179088139,0.0904670736624872,,,,
homa_ir,single_si,5fold_single_vs_joint,,,,,,,97.0,r2,0.006390510810630379,0.12535640593950903,,,,
homa_ir,ridge_6d,5fold_single_vs_joint,,,,,,,97.0,r2,-0.6692495861267604,1.2910624445936052,,,,
