gold	param	spearman_r	p_value	n
sspg	si	-0.19452977397762067	0.5902067758594245	10
sspg	mi	-0.6686960980480711	0.034509541651785346	10
sspg	tau_m	-0.4012176588288426	0.25049600352532764	10
sspg	sg	-0.5167197121280549	0.12619736664661996	10
di	si	0.5428571428571429	0.26570262390670557	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	0.14285714285714288	0.7871720116618075	6
di	sg	0.2571428571428572	0.6227871720116618	6
homa_ir	si	-0.06666666666666667	0.8646897846262037	9
homa_ir	mi	-0.3	0.4328453267094823	9
homa_ir	tau_m	0.13333333333333333	0.7323675052362975	9
homa_ir	sg	-0.06666666666666667	0.8646897846262037	9
homa_b	si	-0.08333333333333334	0.831214097710308	9
homa_b	mi	0.7	0.03576957497026169	9
homa_b	tau_m	0.6333333333333333	0.06708578689234565	9
homa_b	sg	0.6833333333333333	0.04244227208707231	9
