gold	param	spearman_r	p_value	n
sspg	si	0.6139845991168652	0.05898096236903695	10
sspg	mi	-0.7112494861056756	0.021090925985548795	10
sspg	tau_m	-0.3465061598976368	0.3266572580343009	10
sspg	sg	0.41945482513924454	0.2275515102242153	10
di	si	-0.48571428571428577	0.3287230320699709	6
di	mi	0.48571428571428577	0.3287230320699709	6
di	tau_m	-0.08571428571428573	0.8717434402332361	6
di	sg	-0.3714285714285715	0.46847813411078715	6
homa_ir	si	0.5499999999999999	0.12497678418833198	9
homa_ir	mi	-0.38333333333333336	0.30849527238037144	9
homa_ir	tau_m	0.11666666666666665	0.7650079429261462	9
homa_ir	sg	0.65	0.05807305801714864	9
homa_b	si	-0.5	0.1704706607870538	9
homa_b	mi	0.6666666666666667	0.0498672305688851	9
homa_b	tau_m	0.3666666666666667	0.33173980143301496	9
homa_b	sg	0.5	0.1704706607870538	9
